plate,shRNA,Well,GeoMean
4,Dmap1.4,F04,3669.21308
control 2,shSmarce1.1,G02,8073.601992
2,Brd1.4,G11,3673.39847
15,Sin3a.2,D03,4875.312726
16,Sirt5.2,D06,4875.686515
2,Brpf1.2,D03,3676.955301
18,Trim24.2,E07,4879.692045
11,Pcgf1.4,G05,8090.7633
9,Kdm5b.2,C04,8092.72533
12,Phf2.2,E03,8094.965692
5,Ep400.4,G11,3684.224798
6,Hcfc1.2,C10,3686.032225
15,Setmar.1,C06,4891.95728
4,Chd3.3,D10,3690.93033
2,Brd2.2,C10,3692.352928
10,Msl3.1,B09,8120.659827
10,Myst4.3,D07,8121.882199
16,Sirt6.1,D05,4901.245226
11,Nap1l3.3,E08,8128.823987
2,Bop1.1,B09,3709.658153
4,Ctsl.3,F08,3715.432095
10,Myst1.2,D08,8172.34755
control 2,shBptf.1,B02,8172.912377
10,Msl3.2,D09,8174.958489
control 1,shSmarca4.3,E04,3725.486923
15,Scml2.4,G04,4945.157202
control 1,shCxxcl.2,D07,3732.597963
4,Chd6.4,F10,3735.749436
12,Phf8.1,C06,8218.729095
12,Ppargc1a.2,D03,8219.001582
8,Kdm1b.3,F09,8220.020499
18,Tet1.3,E08,4960.281429
control 1,shNcor1.4,D05,3744.079264
4,Chd9.3,E11,3745.245669
12,Ppargc1a.1,C09,8234.054785
17,Sp110.2,D06,4965.959005
2,Bmi1.3,F05,3749.487539
2,Brd1.2,E03,3750.879007
6,Hdac3.2,C05,3752.054793
11,Pbrm1.4,G06,8244.897429
12,Phf19.2,E02,8247.960838
19,Wdr5.3,E08,4976.845119
16,Sirt7.3,E11,4980.694187
control 1,shSp140.3,F08,3761.572431
2,Brd2.3,D04,3762.00555
19,Zmynd8.3,F09,4985.341401
6,Hdac1.4,F04,3765.208471
4,Dot1l.1,B07,3770.472783
2,Baz1a.3,D10,3778.977595
19,Arid1b.2,C10,5008.095923
11,Nap1l2.1,B02,8312.359464
12,Phf20.1,B03,8316.631084
11,Padi4.4,F04,8321.395905
8,Kdm1a.2,D09,8323.849389
19,Dpy30.3,G06,5018.997651
8,Kdm2a.2,E03,8334.432856
19,Wbp7.2,C04,5024.742478
16,Smarca4.2,E03,5026.726789
1,Aurkb.2,D11,3797.416615
12,Phip.1,B08,8343.212139
8,Kdm2a.1,B05,8346.925877
8,Kdm1b.4,G03,8347.985896
2,Baz1b.1,B10,3802.622403
9,L3mbtl2.3,F09,8357.103351
17,Suv420h1.4,F04,5040.702157
4,Dnmt3l.2,D03,3808.505883
12,Polr2b.3,E09,8365.143663
control 2,shBrd8.2,C07,8371.501985
1,Atrx.4,G06,3814.170636
1,Aff1.1,B10,3814.968503
12,Phc1.1,D05,8379.86879
10,Mll5.2,D06,8381.202906
11,Padi6.3,E10,8387.045034
17,Smyd4.2,C04,5059.826087
9,L3mbtl1.3,E11,8398.266079
18,Usp51.3,F03,5067.18555
18,Ube2i.3,E10,5067.711965
8,Kdm3b.3,E10,8411.636407
control 2,shSmarca4.3,E04,8413.361565
9,Mbd1.1,B04,8421.215716
12,Pcgf6.4,G08,8421.903258
control 1,shCd4.1,B10,3836.387022
11,Padi4.3,E06,8423.30083
9,L3mbtl4.1,B03,8424.248524
5,Ercc5.4,G02,3840.546581
4,Dnmt3a.3,E05,3840.947025
18,Tet2.2,C08,5083.128392
9,Kdm6a.1,C03,8437.77018
11,Paxip1.4,F11,8442.90874
control 2,shSp140.2,F07,8459.464838
2,Baz1b.2,D02,3859.100516
control 3,shCd4.3,D11,5106.444747
16,Sirt4.4,G08,5106.562502
16,Smarcc2.3,E06,5110.313633
20,Rnf2.3,D11,5110.538048
11,Padi4.2,C07,8484.033737
8,Kat5.1,D05,8490.620699
6,Fkbp1a.1,B10,3870.382802
15,Sfmbt1.1,B08,5119.42177
15,Sin3a.1,C09,5119.56064
control 1,shWhsc1.1,B06,3882.558012
16,Sirt3.4,G04,5135.686167
19,Wdr5.4,G04,5138.361565
control 1,shBptf.4,B05,3888.281697
8,Kdm1b.2,E02,8534.871539
2,Brd1.3,F08,3891.017571
17,Suv39h2.3,D04,5144.110559
9,Mbd1.3,E06,8542.925364
control 2,shCd4.2,C10,8548.288064
4,Chd5.3,F02,3896.449723
18,Ube2i.2,D08,5155.73383
10,Myst2.2,C02,8561.680097
9,Kdm5d.2,C08,8574.600145
8,Kat2a.2,C08,8580.703882
1,Ash1l.1,D05,3914.847427
10,Morf4l1.2,E07,8591.454846
11,Ncor2.1,B09,8593.565465
control 3,shCxxcl.2,D07,5176.834109
16,Smarcd3.4,F07,5178.390898
21,Smarcb1.2,F06,5179.555873
1,Atr.2,C05,3920.758316
4,Dnmt1.4,G02,3923.762386
17,Smyd4.1,B02,5186.585424
8,Kdm2a.3,F08,8616.545133
8,Kdm4c.4,F11,8618.778081
12,Phf19.1,C11,8622.212116
8,Jmjd6.2,D02,8634.386724
control 1,shSmarca4.2,E03,3936.903343
19,Chd7.1,F07,5200.663223
18,Trim66.4,G11,5201.193994
9,L3mbtl1.2,D09,8639.703282
17,Suv39h1.3,F08,5205.203517
5,Ehmt2.4,F10,3941.757342
10,Mta3.1,B03,8653.941916
8,Kat2b.2,D06,8659.006742
9,L3mbtl3.3,F08,8664.888731
14,Prmt5.2,D06,8673.912357
16,Sirt1.3,D10,5225.199896
3,Cbx4.3,E11,3958.488665
20,H2afz.1,G08,5231.729671
19,Eaf1.2,D11,5232.170302
9,Mbd3.2,C02,8688.313176
12,Phf2.3,F08,8692.245167
control 2,shSp140.1,F06,8693.638857
11,Pbrm1.2,D03,8697.544268
control 2,shCd4.2,C11,8707.104284
5,Epc1.2,C10,3975.925528
7,Jarid2.2,C02,3979.323737
11,Parp1.1,B08,8729.733468
16,Sirt6.2,E07,5256.855506
5,Epc1.1,B03,3982.347883
8,Kdm4d.2,D03,8730.736561
11,Nap1l3.2,D02,8730.778519
8,Kdm5a.3,F03,8741.668157
control 3,shCd4.4,E10,5266.587866
15,Setd2.3,F05,5269.569578
1,Atm.1,B08,3994.724403
17,Supt16h.2,E02,5272.664427
9,Mecom.2,D03,8757.164713
15,Sfmbt1.2,C02,5273.952589
9,Kdm5b.3,D10,8763.005552
8,Kat2b.3,F06,8770.72842
control 2,shCd4.4,E10,8771.369287
control 1,shCd4.2,C10,4002.304824
8,Kdm5a.1,B07,8787.403314
13,Prdm9.4,F07,8790.929784
18,Ube2b.1,B03,5295.573896
1,Atad2b.3,E10,4017.289187
15,Setdb1.4,G09,5302.576488
14,Rbbp7.1,C06,8809.626837
control 1,shWhsc1.4,B09,4020.627846
11,Ncoa3.4,F10,8815.195645
control 3,shCxxcl.1,D06,5307.957083
6,Hdac4.3,D07,4024.754898
16,Sirt4.2,C08,5310.181165
6,Gadd45b.3,F06,4026.853971
2,Brd9.2,C05,4034.109203
5,Ezh2.4,F11,4035.15832
2,Brd2.4,G09,4037.491836
3,Chd1.3,E09,4038.736665
21,Setd3.1,B10,5328.568378
16,Sirt7.4,G10,5332.619905
11,Ncor1.2,E07,8859.284436
16,Sirt3.2,D02,5340.872197
11,Ncoa3.3,F06,8875.30173
2,Brd9.4,F11,4051.451053
11,Padi1.3,D04,8876.828212
6,Hdac1.1,B04,4053.170911
7,Ing5.3,E06,4054.568275
4,Chd6.3,F06,4056.75827
11,Ncoa3.1,C03,8887.751511
21,Scmh1.3,E04,5349.779271
16,Smarca1.1,C11,5350.622598
6,Hdac10.1,C06,4059.313684
15,Setdb1.4,,5302.576488
18,Ube2e1.1,B04,5356.497477
18,Tet2.3,F02,5359.131426
17,Suz12.3,E05,5361.975521
9,L3mbtl2.4,G03,8914.428761
17,Taf1.1,B11,5367.200967
8,Kat2a.3,F02,8925.31401
5,Dub2a.1,B02,4075.56215
control 1,shSp140.4,F09,4075.924446
2,Brd1.1,B05,4077.104351
11,Ncoa1.4,G08,8945.030406
17,Supt16h.4,G03,5384.000617
2,Bptf.2,E02,4084.91236
1,Arid2.1,C03,4087.47272
control 2,shCxxcl.2,D07,8951.981534
6,Hdac2.1,B08,4088.78467
20,Hdac5.3,G07,5389.199188
12,Prdm1.2,D11,8957.882433
17,Suv420h1.2,C07,5392.246065
