shRNA,t1,t2
Smarce1.4,-60.35141,21.50666
Smarcd1.4,-31.516413,-13.413151
Smarca1.4,-20.25037,-11.642719
Sirt3.4,-5.6124086,-23.36472
Smyd3.4,-0.18451029,-11.43523
Smyd2.4,15.140665,4.1209846
Sirt6.4,15.15549,3.4599097
Sirt4.4,-13.555282,-16.2589
Smarca5.4,-43.690563,-10.689649
Smyd4.1,-43.81464,-23.339533
Suv39h2.1,-43.09634,-24.358902
Suv420h1.1,9.271098,-7.3208814
Suv39h1.1,5.179371,-3.4559507
Sp100.1,8.559486,4.0272274
Tcea1.1,6.3296785,-8.02358
Suz12.1,35.943184,0.34492028
Ssrp1.1,8.829157,3.8418646
Smyd5.1,7.572932,4.449113
Taf1.1,-23.575874,-9.115828
Suz12.2,-16.375536,-22.131504
Sp110.1,-15.998095,-17.50771
Smyd4.2,-16.194836,-17.629292
Taf1.2,-26.011246,-12.435458
Suv420h2.1,-0.9557158,-34.86648
Suv420h1.2,-14.396572,-17.144934
Sp100.2,-40.762077,-25.259958
Taf3.1,-28.15581,-13.457809
Suv39h2.2,0.9387315,-21.249128
Supt16h.1,20.634851,20.84636
Smyd5.2,19.017078,6.6858525
Taf3.2,-15.520517,-21.245623
Suv39h2.3,-13.989211,-47.870316
Sp140.1,-6.48904,-34.052017
Sp110.2,-2.1715062,-26.338524
Taf3.3,-27.849533,-13.396603
Suv420h2.2,-4.8988557,-27.001738
Ssrp1.2,27.018766,27.365952
Smyd4.3,20.147352,21.561012
Tcea1.2,-23.620014,-9.468424
Supt16h.2,28.351765,29.457962
Suv39h1.2,17.70891,6.129619
Smyd4.4,-18.231615,-7.73627
Suz12.3,-13.235865,-38.7275
Suv420h1.3,-1.7450722,-23.706959
Sp140.2,1.2206638,-16.769436
Smyd5.3,-0.8402741,-12.8239975
Taf1.3,-26.250168,-11.679181
Suv420h2.3,8.873341,-7.792924
Ssrp1.3,26.76067,32.872078
Sp100.3,15.123395,-3.9093988
Tcea1.3,-16.594227,-41.336716
Suv420h1.4,2.0975168,-23.869902
Sp140.3,-13.813655,-20.598467
Sp110.3,2.158176,-22.209976
Suz12.4,-7.3122315,38.982845
Suv39h1.3,-0.5838344,-16.13034
Supt16h.3,5.4810386,-23.057512
Sp110.4,-7.4932218,18.557323
Taf1.4,-7.4725056,79.170784
Suv420h2.4,-9.5042925,12.1492
Supt16h.4,-1.3557434,6.1126323
Smyd5.4,-18.464426,-34.61566
Tcea1.4,-26.19632,-14.287336
Taf3.4,-27.017,-14.587578
Sp140.4,-25.556126,-38.447258
Sp100.4,4.658295,-5.5650196
Suv39h2.4,-0.5671609,-14.839032
Ssrp1.4,19.663004,21.053305
Suv39h1.4,20.654276,24.302132
Tdg.1,-18.795046,-14.695203
Ube2b.1,-20.281322,-20.25336
Ube2e1.1,36.48093,7.6016445
Trim66.1,-20.041372,-17.213955
Tet2.1,6.6461043,-2.8384588
Usp51.1,2.5184782,-48.38978
Uhrf1.1,24.388243,28.115925
Trim28.1,26.516361,-11.292396
Tet1.1,26.666761,25.763577
Usp22.1,-4.8076563,4.4670525
Uhrf1.2,23.424982,28.138792
Tet3.1,-18.192604,-43.795242
Tdg.2,-40.817562,-28.892466
Usp22.2,-7.5346327,-34.61861
Ube2i.1,17.440348,38.898193
Ube2e1.2,-32.41039,-14.657928
Tet2.2,-20.008818,-1.6956602
Usp27x.1,-37.013073,-24.428936
Ube2b.2,-28.47872,-7.772713
Trim33.1,-4.755781,6.876734
Tet1.2,-10.259493,-34.60018
Usp27x.2,-10.13349,-35.630215
Ube2b.3,-17.460627,-44.256474
Trim24.1,-34.328976,47.33047
Tet3.2,-8.197933,-38.53478
Usp27x.3,-9.538556,-34.763653
Ube2i.2,23.796614,34.151604
Trim28.2,-18.246159,-36.219345
Tdg.3,-9.377886,-33.759758
Usp51.2,-7.9897785,-3.3720562
Trim33.2,-3.9464605,-37.911144
Trim66.2,-32.908607,47.787586
Tdg.4,25.423132,-8.12458
Uhrf1.3,16.480268,24.652376
Ube2e1.3,29.2756,20.875832
Trim24.2,-6.0956664,12.020864
Tet1.3,-12.790772,-10.126998
Usp22.3,29.138855,21.720266
Ube2i.3,31.595352,31.26423
Trim28.3,5.389616,6.551602
Tet2.3,20.822388,12.166757
Usp51.3,-15.335581,-41.33583
Ube2e1.4,37.429436,8.561883
Trim24.3,-4.759961,-4.115619
Tet3.3,-3.5051048,-37.659992
Uhrf1.4,36.382637,8.630542
Trim66.3,17.446878,10.469253
Trim33.3,30.773613,-11.771781
Tet3.4,16.853893,11.197318
Usp22.4,21.086575,24.67802
Ube2i.4,-46.10029,11.911645
Trim33.4,-19.462526,-43.57291
Tet1.4,-21.469938,-24.257807
Usp51.4,5.257833,-27.299988
Usp27x.4,0.41168585,-25.484499
Trim24.4,15.171364,-8.474916
Tet2.4,-12.029714,-20.553875
Ube2b.4,-13.129128,-11.267544
Trim28.4,-7.4204974,-14.426396
Trim66.4,6.5000973,-16.697475
Wbp7.1,-7.123531,-25.544653
Arid1b.1,-22.209885,-24.62602
Brd7.2,-7.6003785,-26.933163
Actb,-44.407883,-16.95589
Wdr82.1,-38.573933,62.12817
Eaf1.1,-6.1662474,-26.665564
Cecr2.1,-22.743862,-40.866676
Zmynd11.1,-21.423567,-39.96656
Wdr5.1,-22.500633,-42.311516
Chd7.2,-40.284405,-32.36678
Cecr2.2,16.631268,6.7305393
Whsc1.1,15.053724,26.19649
Wbp7.2,-0.6952008,-22.387077
Chd7.3,-38.020004,-7.2979226
Brdt.3,3.449638,-23.882084
