"Experiment: 10 U p1","Analysis: Analysis 3","User: Admin","Number of Plates: 8","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/2/2015","Export Time: 2:03:29 PM"
"Plate: control"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"B02","Sample",32.5684024713151,35.5568615927123,42.3442014032191
"B03","Sample",27.1097046413502,47.0650263620387,65.7213753987947
"B04","Sample",30.8300395256917,43.801652892562,58.7036635595057
"B05","Sample",37.2834372834373,41.1433926897844,60.5424321959755
"B06","Sample",30.5632502308403,35.7246376811594,48.8417618270799
"B07","Sample",29.7220242337847,38.0931065353626,50.8879781420765
"B08","Sample",25.2516010978957,50.8970099667774,69.9899799599198
"B09","Sample",26.9230769230769,36.5264473136193,47.8826590962858
"B10","Sample",28.5834031852473,37.5948406676783,50.7834359261332
"B11","Sample",28.3511269276394,34.5772131798333,34.2226890756303
"C02","Sample",34.6910112359551,50.5832449628844,61.8431073876618
"C03","Sample",33.160621761658,39.7670025188917,54.5146379044684
"C04","Sample",42.4561403508772,39.2772355579003,56.5434565434565
"C05","Sample",41.7525773195876,42.9478138222849,46.8235294117647
"C06","Sample",44.0230832646331,44.1236068895643,59.075723830735
"C07","Sample",38.3403361344538,42.9192229038855,55.2218974222695
"C08","Sample",42.5705794947994,61.2367202397167,78.2121006118287
"C09","Sample",38.9038151531435,43.5234899328859,60.1992204417497
"C10","Sample",38.4254431699687,46.2414578587699,52.3938572719061
"C11","Sample",39.8099762470309,34.1363102232667,50.6042296072508
"D02","Sample",33.8334195550957,38.9247311827957,49.8168498168498
"D03","Sample",38.7985865724382,46.2722462722463,60.913364674278
"D04","Sample",38.4928716904277,55.2522746071133,73.1173117311731
"D05","Sample",39.9190829399865,42.9718875502008,58.6845761926818
"D06","Sample",43.7145416542251,50.501002004008,68.6318972033258
"D07","Sample",39.3568147013783,38.8726402552513,54.4208361891707
"D08","Sample",35.7081174438687,48.8672011153712,66.0555264536407
"D09","Sample",24.9330954504906,28.5811269517991,43.9811172305271
"D10","Sample",34.7113884555382,27.4383408071749,42.2020660115898
"D11","Sample",28.2848545636911,38.0344827586207,40.4073898626243
"E02","Sample",33.2153690596562,30.2013422818792,43.1969552806851
"E03","Sample",30.1363836339639,45.8004892633868,59.0321611061016
"E04","Sample",24.4350282485876,32.7313211281544,50.5337270043152
"E05","Sample",34.9346460702767,44.5714285714286,69.6629213483146
"E06","Sample",32.2446555819477,42.637505413599,60.4731018695155
"E07","Sample",32.2033898305085,34.8070346849047,61.94636938837
"E08","Sample",28.7145242070117,31.5732172019597,48.4290623465881
"E09","Sample",30.3995680345572,32.5541619156214,41.3525179856115
"E10","Sample",30.7068366164542,42.1558441558442,54.7550432276657
"E11","Sample",23.7113402061856,27.5193798449612,36.8794326241135
"F02","Sample",38.4968242766408,45.4607742377527,54.6769091730682
"F03","Sample",37.3651191969887,47.6802939825448,63.0252100840336
"F04","Sample",35.2581898945031,44.4189602446483,66.9273229070837
"F05","Sample",32.172131147541,42.8290766208251,59.6506300114548
"F06","Sample",37.5084860828242,41.9277108433735,60
"F07","Sample",23.0800990916598,37.3970345963756,53.5031847133758
"F08","Sample",31.9972356599862,44.045584045584,61.3759479956663
"F09","Sample",38.30194701564,37.4077976817703,63.7781629116118
"F10","Sample",36.7799871712636,43.3333333333333,41.6666666666667
"F11","Sample",38.0092831356369,32.6589595375723,25.9431224608241
"G02","Sample",41.890243902439,40.6461538461539,53.8864628820961
"G03","Sample",37.0535714285714,36.935791481246,47.4200426439232
"G04","Sample",44.1337719298246,43.1110329051557,66.5316297912122
"G05","Sample",35.5576739752145,38.8116308470291,56.1577934573445
"G06","Sample",35.2727272727273,39.4340857049395,64.7429171038825
"G07","Sample",36.2596213854795,41.8079096045198,68.7444345503117
