"Position","Pool","shRNA","Percentage","precentile","z"
"10_E11",2,"Msl3.3",0.83887764,49.6337087746624,-0.00918168842810131
"10_F02",2,"Mll3.3",0.421517463,36.929484999864,-0.333721531997555
"10_F03",2,"Nap1l1.3",0.282885431,32.9417572933389,-0.441521989392405
"10_F04",2,"Mtf2.4",0.542152345,40.5197811295601,-0.239915683019061
"10_F05",2,"Morf4l1.3",0.300957592,33.4518860802028,-0.427469052320016
"10_F06",2,"Mll5.3",0,25.414775275272,-0.661494086837671
"10_F07",2,"Myst2.4",0.984251969,54.1360404862792,0.103861588321022
"10_F08",2,"Mta2.3",0.656716418,44.0054711643931,-0.150830503409078
"10_F09",2,"Mta1.3",0.335908633,34.4471070359538,-0.400291075110347
"10_F10",2,"Mll5.4",0.394366197,36.1356830244777,-0.354834393516091
"10_F11",2,"Myst3.4",0.382246762,35.7832499647566,-0.364258482722019
"10_G02",2,"Myst1.4",0.905511811,51.7003008783667,0.0426331339350784
"10_G03",2,"Mta1.4",0.962695548,53.4703703506134,0.0870992859146353
"10_G04",2,"Mll2.4",0.522704998,39.9346887734132,-0.255037966602961
"10_G05",2,"Nap1l1.4",0.583244963,41.7629316336201,-0.207962007147443
"10_G06",2,"Myst4.4",0.417075564,36.7992280461907,-0.337175558725676
"10_G07",2,"Morf4l1.4",0.369276219,35.4074053461575,-0.374344394670995
"10_G08",2,"Mll3.4",0.400084228,36.3023748649484,-0.350388044802123
"10_G09",2,"Mta3.4",0.651955868,43.8595017328271,-0.154532313589939
"10_G10",2,"Msl3.4",0.453629032,37.8755270328415,-0.308751532092581
"10_G11",2,"Mta2.4",1.567251462,71.1305558212999,0.557202790204044
"13_B02",2,"Prdm10.1",0.643382353,43.5968298688821,-0.161199090561668
"13_B03",2,"Prdm5.1",0.687442713,44.9494856039684,-0.126937694458192
"13_B04",2,"Prdm6.1",0.381533766,35.7625533993019,-0.364812909385265
"13_B05",2,"Prdm4.1",0.655021834,43.9535018684033,-0.152148214241549
"13_B06",2,"Prdm12.1",0.625782228,43.0585009529018,-0.174884971795858
"13_B07",2,"Prkcd.1",0.479452055,38.6416381748857,-0.288671514144653
"13_B08",2,"Prdm9.1",0.928917609,52.4254100455069,0.060833514422118
"13_B09",2,"Prdm15.1",0.412158681,36.6552192248651,-0.34099893366082
"13_B10",2,"Prdm11.1",0,25.414775275272,-0.661494086837671
"13_B11",2,"Prkaa1.1",1.084598698,57.2166000309341,0.181891341821837
"13_C02",2,"Prdm9.2",0.528945048,40.1221873570177,-0.250185695201741
"13_C03",2,"Prdm13.1",0.364963504,35.2827488838108,-0.377697967744306
"13_C04",2,"Prdm10.2",0.057405281,26.8664966997916,-0.61685566194118
"13_C05",2,"Prkaa1.2",0.378992962,35.6888340206103,-0.366788642045309
"13_C06",2,"Prdm8.1",0.300225169,33.4311514212807,-0.428038585444991
"13_C07",2,"Prdm6.2",0.442722745,37.5533680607525,-0.317232275757072
"13_C08",2,"Prdm12.2",0.528442648,40.1070829526159,-0.250576362127803
"13_C09",2,"Prkaa2.1",0.396825397,36.2073414997183,-0.352922116237883
"13_C10",2,"Prdm5.2",0.326797386,34.1865928137601,-0.407375993219586
"13_C11",2,"Prdm2.1",0.132684653,28.8313518782664,-0.558318319474779
"13_D02",2,"Prdm11.2",1.057957682,56.402231360962,0.161175251400083
"13_D03",2,"Prkaa2.2",0.402761795,36.3805207269431,-0.34830596504652
"13_D04",2,"Prdm5.3",1.157742402,59.4357252088356,0.238767985935035
"13_D05",2,"Prdm14.1",0.262850467,32.3799152193177,-0.457101204757937
"13_D06",2,"Prdm13.2",0.359928014,35.1374008027384,-0.381613571644617
"13_D07",2,"Prkaa2.3",0.211026114,30.9453540715728,-0.497399892420483
"13_D08",2,"Prdm8.2",0.621761658,42.9357022204767,-0.178011372518225
"13_D09",2,"Prdm15.2",0.421940928,36.9419108111834,-0.333392245035284
"13_D10",2,"Prdm10.3",0.719079578,45.9244663292171,-0.102336825031859
"13_D11",2,"Prkcd.2",0.888171175,51.1627134624977,0.0291490317016378
"13_E02",2,"Prdm2.2",0.949628406,53.0663669054278,0.076938258451347
"13_E03",2,"Prdm4.2",0.290191526,33.1476134289706,-0.435840759943426
"13_E04",2,"Prdm10.4",0.607501321,42.5007130595287,-0.189100230042904
"13_E05",2,"Prdm9.3",0.265957447,32.4667860295179,-0.45468521286714
"13_E06",2,"Prdm6.3",0.561482313,41.1034496350493,-0.22488467350585
"13_E07",2,"Prdm14.2",0.249003984,31.9939405321664,-0.467868248847069
"13_E08",2,"Prdm11.3",0.250797994,32.0438404526334,-0.466473224221224
"13_E09",2,"Prkaa1.3",0.884210526,51.0398938447134,0.0260692256306971
"13_E10",2,"Prdm8.3",1.261034048,62.5169998882074,0.319087710916538
"13_E11",2,"Prdm15.3",0.372670807,35.5056340885103,-0.37170475840665
"13_F02",2,"Prdm12.3",0.684931507,44.8722181879725,-0.128890411673018
"13_F03",2,"Prkcd.3",0.474912244,38.5066214605349,-0.29220167737768
"13_F04",2,"Prdm6.4",0.515132003,39.7074502528509,-0.260926737856411
"13_F05",2,"Prdm14.3",0.69819105,45.2804145566626,-0.118579772929392
"13_F06",2,"Prdm13.3",0,25.414775275272,-0.661494086837671
"13_F07",2,"Prdm9.4",0.458190149,38.0105087931646,-0.30520480128486
"13_F08",2,"Prdm4.3",0.277264325,32.7837280623977,-0.445892969094015
"13_F09",2,"Prdm2.3",0.631136045,43.2221245971907,-0.17072183638565
"13_F10",2,"Prdm13.4",2.001953125,81.4667228940908,0.895227396968099
"13_F11",2,"Prkaa1.4",0.610997963,42.6072902881594,-0.186381236448797
"13_G02",2,"Prdm8.4",0.205338809,30.7896245550854,-0.501822348554893
"13_G03",2,"Prdm2.4",0.947459087,52.9992652746507,0.0752513930345916
"13_G04",2,"Prdm11.4",1.086549269,57.2761092938441,0.183408108495077
"13_G05",2,"Prkcd.4",1.300510915,63.6749962686385,0.349784976604137
"13_G06",2,"Prkaa2.4",0.873907615,50.7203575746085,0.0180576679677579
"13_G07",2,"Prdm14.4",0.713073005,45.7391497279575,-0.107007544399051
"13_G08",2,"Prdm12.4",0.778688525,47.7676947472546,-0.0559848264445102
"13_G09",2,"Prdm5.4",1.396545388,66.4385366391417,0.424461513950667
"13_G10",2,"Prdm15.4",1.114754098,58.1346839557491,0.205340222041126
"13_G11",2,"Prdm4.4",0.311968236,33.7641991864547,-0.418907160509818
"12_B02",2,"Pcgf2.1",0,25.414775275272,-0.661494086837671
"12_B03",2,"Phf20.1",0.768442623,47.4504202054339,-0.0639520538311996
"12_B04",2,"Phf20l1.1",0.905868452,51.7113544108786,0.0429104584636964
"12_B05",2,"Phf2.1",0.230414747,31.4788161396936,-0.482323264923161
"12_B06",2,"Pcgf6.1",0.949367089,53.0582842747693,0.0767350579953006
"12_B07",2,"Prdm1.1",0.445682451,37.6407096158964,-0.314930804329789
"12_B08",2,"Phip.1",0.29033596,33.1516881555566,-0.435728447867791
"12_B09",2,"Phf1.1",0.90403338,51.6544778270982,0.0414835039705784
"12_B10",2,"Pcgf5.1",0.99009901,54.3164073560306,0.108408255387162
"12_B11",2,"Polr2b.1",0.573770492,41.4755266848884,-0.215329368735089
"12_C02",2,"Phip.2",0.604960678,42.4233088864694,-0.191075837509128
"12_C03",2,"Pcmt1.1",0.440044004,37.4743727864572,-0.319315268416679
"12_C04",2,"Pcgf2.2",0.362581581,35.2139683809953,-0.379550154321787
"12_C05",2,"Polr2b.2",1.45631068,68.1156454399736,0.470935086623516
"12_C06",2,"Phf8.1",0.569530138,41.34704363645,-0.218626673795987
"12_C07",2,"Phf20l1.2",0.706357215,45.532061980019,-0.112229751873928
"12_C08",2,"Pcgf6.2",0.398512221,36.2565217450846,-0.351610439592008
"12_C09",2,"Ppargc1a.1",0.615085788,42.7319551460087,-0.183202538146589
"12_C10",2,"Phf20.2",0.588482556,41.922002385065,-0.203889247678346
"12_C11",2,"Phf19.1",0.91522158,52.0011905445147,0.050183463568841
"12_D02",2,"Pcgf5.2",0.535801266,40.3284627583506,-0.2448542907223
"12_D03",2,"Ppargc1a.2",0.652340752,43.8713000874873,-0.154233027265953
"12_D04",2,"Phf20.3",0.479780672,38.6514168039168,-0.288415981116704
"12_D05",2,"Phc1.1",0.648648649,43.7581438022465,-0.157104011600575
"12_D06",2,"Pcmt1.2",1.234567901,61.7342111356221,0.29850759886798
"12_D07",2,"Ppargc1a.3",1.028403526,55.4956411768837,0.138193899336234
"12_D08",2,"Phf8.2",1.067073171,56.6811993853201,0.168263468094315
"12_D09",2,"Phf1.2",0.872885979,50.6886695234454,0.0172632424190431
"12_D10",2,"Pcgf2.3",0.610902256,42.6043724277064,-0.186455658342692
"12_D11",2,"Prdm1.2",0.46016681,38.0690516234987,-0.303667746991992
"12_E02",2,"Phf19.2",0.925925926,52.3327677318156,0.0585071776359675
"12_E03",2,"Phf2.2",1.063829787,56.5819771190516,0.165741408266849
"12_E04",2,"Pcgf2.4",0.809889173,48.7346412604042,-0.0317231599530625
"12_E05",2,"Phip.3",0.517911092,39.7908006477615,-0.258765714454972
"12_E06",2,"Phf20l1.3",0.395517469,36.1692238301611,-0.353939162836749
"12_E07",2,"Phc1.2",0.431758215,37.2303611970008,-0.325758309257898
"12_E08",2,"Pcgf5.3",0.471574535,38.4074446892165,-0.294797084453953
"12_E09",2,"Polr2b.3",0.845451471,49.8376361875726,-0.00406986846547939
"12_E10",2,"Phf8.3",0.617707618,42.8119504081249,-0.181163799558298
"12_E11",2,"Phf1.3",0.446713465,37.6711499527678,-0.314129086435468
"12_F02",2,"Pcgf6.3",0.367197062,35.3472889264124,-0.375961149993428
"12_F03",2,"Prdm1.3",0.478359909,38.6091444615722,-0.289520768365654
"12_F04",2,"Phf20l1.4",0.778909527,47.7745399255817,-0.0558129749875166
"12_F05",2,"Phc1.3",0.777604977,47.7341345630357,-0.0568273948489701
