Pool,shRNA
pool1-7|bc1_3_17_20,Klf2.4
pool1-7|bc1_3_17_20,Klf2.5
pool1-7|bc1_3_17_20,Klf2.6
pool1-7|bc1_3_17_20,Klf2.7
pool1-7|bc1_3_17_20,Ms4a1
pool1-7|bc1_3_17_20,Ms4a1.2
pool1-7|bc1_3_17_20,Nfatc3.2
pool1-7|bc1_3_17_20,Nfatc3.3
pool1-7|bc1_3_17_20,Nfatc3.7
pool1-7|bc1_3_17_20,Nfatc3.8
pool1-7|bc1_3_17_20,Runx3
pool1-7|bc1_3_17_20,Runx3.2
pool1-7|bc1_3_17_20,Runx3.3
pool1-7|bc1_3_17_20,Tbx21
pool1-7|bc1_3_17_20,Tbx21.3
pool1-7|bc1_3_17_20,Tbx21.4
pool1-7|bc1_3_17_20,Sgk1.1
pool8-14|bc6-10,Jmjd6.1
pool8-14|bc6-10,Kdm4c.1
pool8-14|bc6-10,Jmjd5.1
pool8-14|bc6-10,Kdm2b.1
pool8-14|bc6-10,Kdm3a.1
pool8-14|bc6-10,Kdm2a.1
pool8-14|bc6-10,Kat2a.1
pool8-14|bc6-10,Kdm5a.1
pool8-14|bc6-10,Kdm4a.1
pool8-14|bc6-10,Kdm1a.1
pool8-14|bc6-10,Kdm2b.2
pool8-14|bc6-10,Kdm1b.1
pool8-14|bc6-10,Kdm4a.2
pool8-14|bc6-10,Kat2b.1
pool8-14|bc6-10,Jmjd5.2
pool8-14|bc6-10,Kdm4c.2
pool8-14|bc6-10,Kdm3a.2
pool8-14|bc6-10,Kat2a.2
pool8-14|bc6-10,Kdm4d.1
pool8-14|bc6-10,Jmjd5.3
pool8-14|bc6-10,Kdm5a.2
pool8-14|bc6-10,Jmjd6.2
pool8-14|bc6-10,Kdm4d.2
pool8-14|bc6-10,Kdm2b.3
pool8-14|bc6-10,Kat5.1
pool8-14|bc6-10,Kat2b.2
pool8-14|bc6-10,Kdm4d.3
pool8-14|bc6-10,Kdm3b.2
pool8-14|bc6-10,Kdm1a.2
pool8-14|bc6-10,Kdm3b.3
pool8-14|bc6-10,Kdm1a.3
pool8-14|bc6-10,Kdm1b.2
pool8-14|bc6-10,Kdm2a.2
pool8-14|bc6-10,Jmjd5.4
pool8-14|bc6-10,Kdm4a.3
pool8-14|bc6-10,Kdm3a.3
pool8-14|bc6-10,Kat5.2
pool8-14|bc6-10,Jmjd6.3
pool8-14|bc6-10,Kdm4c.3
pool8-14|bc6-10,Kat2b.4
pool8-14|bc6-10,Kdm4c.4
pool8-14|bc6-10,Kat2a.3
pool8-14|bc6-10,Kdm5a.3
pool8-14|bc6-10,Kdm3a.4
pool8-14|bc6-10,Kat5.3
pool8-14|bc6-10,Kat2b.3
pool8-14|bc6-10,Kdm4a.4
pool8-14|bc6-10,Kdm2a.3
pool8-14|bc6-10,Kdm1b.3
pool8-14|bc6-10,Kdm1a.4
pool8-14|bc6-10,Kdm2a.4
pool8-14|bc6-10,Kdm3b.4
pool8-14|bc6-10,Kdm1b.4
pool8-14|bc6-10,Jmjd6.4
pool8-14|bc6-10,Kdm5a.4
pool8-14|bc6-10,Kdm4d.4
pool8-14|bc6-10,Kat5.4
pool8-14|bc6-10,Kdm2b.4
pool8-14|bc6-10,Kdm5c.1
pool8-14|bc6-10,Mbd4.1
pool8-14|bc6-10,Kdm5b.1
pool8-14|bc6-10,L3mbtl4.1
pool8-14|bc6-10,Mbd1.1
pool8-14|bc6-10,L3mbtl3.1
pool8-14|bc6-10,Kdm5d.1
pool8-14|bc6-10,Men1.1
pool8-14|bc6-10,Mbd3.1
pool8-14|bc6-10,L3mbtl1.1
pool8-14|bc6-10,L3mbtl4.2
pool8-14|bc6-10,L3mbtl2.1
pool8-14|bc6-10,Mbd3.2
pool8-14|bc6-10,Kdm6a.1
pool8-14|bc6-10,Kdm5b.2
pool8-14|bc6-10,Mbd4.2
pool8-14|bc6-10,Mbd1.2
pool8-14|bc6-10,Kdm5d.2
pool8-14|bc6-10,Mecom.1
pool8-14|bc6-10,Kdm5b.3
pool8-14|bc6-10,Kdm5c.2
pool8-14|bc6-10,Mecom.2
pool8-14|bc6-10,L3mbtl4.3
pool8-14|bc6-10,Kdm6b.1
pool8-14|bc6-10,Kdm6a.2
pool8-14|bc6-10,Mecom.3
pool8-14|bc6-10,Mbd2.2
pool8-14|bc6-10,L3mbtl1.2
pool8-14|bc6-10,Mbd2.3
pool8-14|bc6-10,L3mbtl1.3
pool8-14|bc6-10,L3mbtl3.2
pool8-14|bc6-10,Kdm5b.4
pool8-14|bc6-10,Mbd3.3
pool8-14|bc6-10,Mbd1.3
pool8-14|bc6-10,Kdm6b.2
pool8-14|bc6-10,Kdm5c.3
pool8-14|bc6-10,Mbd4.3
pool8-14|bc6-10,Kdm6a.4
pool8-14|bc6-10,Mbd4.4
pool8-14|bc6-10,Kdm5d.3
pool8-14|bc6-10,Men1.3
pool8-14|bc6-10,Mbd1.4
pool8-14|bc6-10,Kdm6b.3
pool8-14|bc6-10,Kdm6a.3
pool8-14|bc6-10,Mbd3.4
pool8-14|bc6-10,L3mbtl3.3
pool8-14|bc6-10,L3mbtl2.3
pool8-14|bc6-10,L3mbtl1.4
pool8-14|bc6-10,L3mbtl3.4
pool8-14|bc6-10,Mbd2.4
pool8-14|bc6-10,L3mbtl2.4
pool8-14|bc6-10,Kdm5c.4
pool8-14|bc6-10,Men1.4
pool8-14|bc6-10,Mecom.4
pool8-14|bc6-10,Kdm6b.4
pool8-14|bc6-10,Kdm5d.4
pool8-14|bc6-10,L3mbtl4.4
pool8-14|bc6-10,Mll2.1
pool8-14|bc6-10,Myst3.1
pool8-14|bc6-10,Mll1.1
pool8-14|bc6-10,Mta3.1
pool8-14|bc6-10,Mtf2.1
pool8-14|bc6-10,Mta2.1
pool8-14|bc6-10,Nap1l1.1
pool8-14|bc6-10,Myst2.1
pool8-14|bc6-10,Msl3.1
pool8-14|bc6-10,Mta3.2
pool8-14|bc6-10,Mta1.1
pool8-14|bc6-10,Myst2.2
pool8-14|bc6-10,Mll5.1
pool8-14|bc6-10,Mll1.2
pool8-14|bc6-10,Myst3.2
pool8-14|bc6-10,Myst1.1
pool8-14|bc6-10,Mtf2.2
pool8-14|bc6-10,Mll3.2
pool8-14|bc6-10,Myst4.1
