Position,Pool,shRNA,GeoMean
13_D10,2,Prdm10.3,1028.415762
13_D11,2,Prkcd.2,415.6242348
13_E02,2,Prdm2.2,298.1664469
13_E03,2,Prdm4.2,542.2577722
13_E04,2,Prdm10.4,538.8079811
13_E05,2,Prdm9.3,540.2165733
13_E06,2,Prdm6.3,588.20645
13_E07,2,Prdm14.2,540.9607803
13_E08,2,Prdm11.3,444.4396792
13_E09,2,Prkaa1.3,613.7947998
13_E10,2,Prdm8.3,379.8694577
13_E11,2,Prdm15.3,600.173286
13_F02,2,Prdm12.3,483.9125497
13_F03,2,Prkcd.3,336.561317
13_F04,2,Prdm6.4,607.9385046
13_F05,2,Prdm14.3,488.0159928
13_F06,2,Prdm13.3,675.4349509
13_F07,2,Prdm9.4,672.6406128
13_F08,2,Prdm4.3,475.1279366
13_F09,2,Prdm2.3,429.2816525
13_F10,2,Prdm13.4,817.9860423
13_F11,2,Prkaa1.4,674.758601
13_G02,2,Prdm8.4,343.9022453
13_G03,2,Prdm2.4,387.8685694
13_G04,2,Prdm11.4,365.4935905
13_G05,2,Prkcd.4,964.0110372
13_G06,2,Prkaa2.4,649.4854852
13_G07,2,Prdm14.4,387.2862945
13_G08,2,Prdm12.4,680.0867083
13_G09,2,Prdm5.4,886.632408
13_G10,2,Prdm15.4,783.0231374
13_G11,2,Prdm4.4,471.0928355
16_B02,3,Sirt1.1,237.0586566
16_B03,3,Smarca5.1,828.3072474
16_B04,3,Smarcc2.1,351.0918012
16_B05,3,Smarca4.1,264.136825
16_B06,3,Sirt4.1,449.3164061
16_B07,3,Smyd3.1,390.5377949
16_B08,3,Smarcd3.1,369.4431746
16_B09,3,Sirt7.1,451.4583328
16_B10,3,Sirt3.1,289.7260007
16_B11,3,Smarce1.1,390.605184
16_C02,3,Smarcd3.2,503.6723379
16_C03,3,Sirt5.1,544.7764406
16_C04,3,Sirt1.2,409.1181021
16_C05,3,Smarce1.2,326.1818843
16_C06,3,Smarcd1.1,169.5371372
16_C07,3,Smarcc2.2,402.3132344
16_C08,3,Sirt4.2,360.5850175
16_C09,3,Smyd2.1,389.1405725
16_C10,3,Smarca5.2,600.7088077
16_C11,3,Smarca1.1,257.4058848
16_D02,3,Sirt3.2,435.6562466
16_D03,3,Smyd2.2,330.782953
16_D04,3,Smarca5.3,948.7374684
16_D05,3,Sirt6.1,913.2828951
16_D06,3,Sirt5.2,380.9238399
16_D07,3,Smyd2.3,2056.282434
16_D08,3,Smarcd1.2,311.8366159
16_D09,3,Sirt7.2,558.0866869
16_D10,3,Sirt1.3,438.9050315
16_D11,3,Smyd3.2,342.5580105
16_E02,3,Smarca1.2,375.8753806
16_E03,3,Smarca4.2,194.4267491
16_E04,3,Sirt1.4,450.8627232
16_E05,3,Smarcd3.3,710.2897915
16_E06,3,Smarcc2.3,256.1697025
16_E07,3,Sirt6.2,485.5490493
16_E08,3,Sirt3.3,284.4195021
16_E09,3,Smarce1.3,170.3845464
16_E10,3,Smarcd1.3,171.1602688
16_E11,3,Sirt7.3,223.2410277
16_F02,3,Sirt4.3,569.7458911
16_F03,3,Smyd3.3,459.8945343
16_F04,3,Smarcc2.4,655.115123
16_F05,3,Sirt6.3,478.3584723
16_F06,3,Sirt5.3,447.9272592
16_F07,3,Smarcd3.4,314.2230258
16_F08,3,Smarca4.3,291.0021015
16_F09,3,Smarca1.3,595.3438901
16_F10,3,Sirt5.4,406.0590213
16_F11,3,Smarce1.4,261.6498175
16_G02,3,Smarcd1.4,434.2284585
16_G03,3,Smarca1.4,373.9718067
16_G04,3,Sirt3.4,638.7076803
16_G05,3,Smyd3.4,389.9375836
16_G06,3,Smyd2.4,416.7416326
16_G07,3,Sirt6.4,399.3316887
16_G08,3,Sirt4.4,427.1390342
16_G09,3,Smarca5.4,1013.967799
16_G10,3,Sirt7.4,150.3169711
16_G11,3,Smarca4.4,148.4579999
19_B02,3,Wbp7.1,675.0841875
19_B03,3,Arid1b.1,597.4741717
19_B04,3,Brd7.2,767.2241415
19_B05,3,Actb,1075.483115
19_B06,3,Wdr82.1,680.9478203
19_B07,3,Eaf1.1,776.259277
19_B08,3,Cecr2.1,867.8357665
19_B09,3,Zmynd11.1,1272.639033
19_B10,3,Wdr5.1,1004.136226
19_B11,3,Chd7.2,594.5190133
19_C02,3,Cecr2.2,398.1077896
19_C03,3,Whsc1.1,486.2056063
19_C04,3,Wbp7.2,307.6507877
19_C05,3,Chd7.3,338.9284494
19_C06,3,Brdt.3,827.8053851
19_C07,3,Brd7.3,381.9814357
19_C08,3,Wdr82.2,501.6999911
19_C09,3,Clock.3,505.0831136
19_C10,3,Arid1b.2,648.6646539
19_C11,3,Zmynd8.1,661.4037663
19_D02,3,Wdr5.2,572.9315319
19_D03,3,Dpy30.1,427.1568508
19_D04,3,Arid1b.3,621.4238981
19_D05,3,Whsc1l1.1,269.4218139
19_D06,3,Whsc1.2,874.8068308
19_D07,3,Dpy30.2,274.9085441
19_D08,3,Cbx2.1,338.8790379
19_D09,3,Zmynd11.2,640.9568929
19_D10,3,Wbp7.3,656.9818552
19_D11,3,Eaf1.2,354.8337078
19_E02,3,Zmynd8.2,532.5114275
19_E03,3,Actl6a,251.2112672
19_E04,3,Wbp7.4,691.3080074
19_E05,3,Cecr2.3,502.2383368
19_E06,3,Brdt.1,598.7682315
19_E07,3,Whsc1l1.2,702.0812375
19_E08,3,Wdr5.3,1389.482258
19_E09,3,Clock.1,707.8444785
19_E10,3,Cbx2.2,438.6528662
19_E11,3,Zmynd11.3,395.6352226
19_F02,3,Wdr82.3,311.7319912
19_F03,3,Eaf1.3,511.1522481
19_F04,3,Brdt.2,843.8313394
19_F05,3,Whsc1l1.3,894.2220361
19_F06,3,Whsc1.3,775.7141201
19_F07,3,Chd7.1,519.2119619
19_F08,3,Arid1a.1,672.3146891
19_F09,3,Zmynd8.3,570.4429173
19_F10,3,Whsc1.4,323.604487
19_F11,3,Clock.2,298.4620026
19_G02,3,Cbx2.3,353.4906948
19_G03,3,Zmynd8.4,483.5298843
19_G04,3,Wdr5.4,651.5442306
19_G05,3,Fbxo17.1,438.9961048
19_G06,3,Dpy30.3,584.1109561
19_G07,3,Whsc1l1.4,505.5430158
19_G08,3,Wdr82.4,323.4467649
19_G09,3,Brd7.1,526.0536295
19_G10,3,Zmynd11.4,336.7230262
19_G11,3,Arid1a.2,355.4678445
17_B02,3,Smyd4.1,223.9359119
17_B03,3,Suv39h2.1,644.4136435
17_B04,3,Suv420h1.1,516.1864317
17_B05,3,Suv39h1.1,512.9097345
17_B06,3,Sp100.1,305.1360644
17_B07,3,Tcea1.1,338.4488812
17_B08,3,Suz12.1,972.8809446
17_B09,3,Ssrp1.1,267.0595941
17_B10,3,Smyd5.1,314.1622642
17_B11,3,Taf1.1,145.3962428
17_C02,3,Suz12.2,571.3154001
17_C03,3,Sp110.1,428.2695532
17_C04,3,Smyd4.2,418.0660351
17_C05,3,Taf1.2,274.3997609
17_C06,3,Suv420h2.1,488.8125929
17_C07,3,Suv420h1.2,394.7247217
17_C08,3,Sp100.2,1285.993553
17_C09,3,Taf3.1,520.439694
17_C10,3,Suv39h2.2,346.9628465
17_C11,3,Supt16h.1,355.8547751
17_D02,3,Smyd5.2,323.0252893
17_D03,3,Taf3.2,527.1316085
17_D04,3,Suv39h2.3,924.4710898
17_D05,3,Sp140.1,496.2693204
17_D06,3,Sp110.2,875.1726944
17_D07,3,Taf3.3,406.1586473
17_D08,3,Suv420h2.2,664.6684988
17_D09,3,Ssrp1.2,251.6034104
17_D10,3,Smyd4.3,214.1765113
17_D11,3,Tcea1.2,196.2696831
17_E02,3,Supt16h.2,237.9927241
17_E03,3,Suv39h1.2,491.1939514
17_E04,3,Smyd4.4,320.6155856
17_E05,3,Suz12.3,782.5101598
17_E06,3,Suv420h1.3,498.3087263
17_E07,3,Sp140.2,520.0331637
17_E08,3,Smyd5.3,309.1447585
17_E09,3,Taf1.3,205.8762688
17_E10,3,Suv420h2.3,413.5190095
17_E11,3,Ssrp1.3,163.5993472
17_F02,3,Sp100.3,437.869693
17_F03,3,Tcea1.3,592.0794434
17_F04,3,Suv420h1.4,691.8193596
17_F05,3,Sp140.3,491.4520471
17_F06,3,Sp110.3,475.9662609
17_F07,3,Suz12.4,366.6050996
17_F08,3,Suv39h1.3,550.0455891
17_F09,3,Supt16h.3,616.1580606
17_F10,3,Sp110.4,254.2329362
17_F11,3,Taf1.4,52.09569676
17_G02,3,Suv420h2.4,394.1368365
17_G03,3,Supt16h.4,308.114996
17_G04,3,Smyd5.4,701.1907958
17_G05,3,Tcea1.4,417.7525482
17_G06,3,Taf3.4,651.7848893
17_G07,3,Sp140.4,800.9931233
