shRNA_names,Q4,Q1,Q2,Q3
Elp3.1_repP1-7_rep2,47.39,37.08,56.29,46.54
Elp3.2_repP1-7_rep2,45.51,48.78,46.59,48.91
Elp3.4_repP1-7_rep2,47.43,48.36,47.49,35.75
Elp4.1_repP1-7_rep2,62.90,48.60,46.46,46.88
Elp4.2_repP1-7_rep2,28.66,50.32,48.47,49.55
Elp4.3_repP1-7_rep2,49.51,52.28,43.49,48.55
Elp4.4_repP1-7_rep2,47.57,61.50,20.58,47.48
Ep300.2_repP1-7_rep2,59.75,50.27,55.19,48.99
Ep300.3_repP1-7_rep2,48.06,45.48,45.01,49.49
Ep400.1_repP1-7_rep2,54.22,52.43,53.17,47.74
Ep400.2_repP1-7_rep2,52.48,32.58,51.32,44.95
Ep400.3_repP1-7_rep2,53.46,45.48,49.58,75.81
Ep400.4_repP1-7_rep2,47.69,45.49,46.56,51.43
Epc1.1_repP1-7_rep2,50.15,45.48,57.23,45.86
Epc1.2_repP1-7_rep2,63.34,44.64,46.82,46.71
Epc1.3_repP1-7_rep2,54.05,46.15,73.77,47.39
Epc1.4_repP1-7_rep2,51.89,50.88,47.33,71.74
Epc2.1_repP1-7_rep2,67.75,49.76,48.24,45.15
Epc2.2_repP1-7_rep2,44.26,42.71,48.32,50.00
Epc2.3_repP1-7_rep2,50.00,58.42,63.36,55.21
Epc2.4_repP1-7_rep2,53.21,49.02,67.89,46.77
Ercc5.1_repP1-7_rep2,49.69,52.68,52.59,44.70
Ercc5.2_repP1-7_rep2,53.73,47.45,45.00,46.45
Ercc5.3_repP1-7_rep2,49.91,45.48,64.49,46.88
Ercc5.4_repP1-7_rep2,69.10,52.29,47.57,45.06
Ezh1.2_repP1-7_rep2,46.09,62.97,45.83,54.24
Ezh1.3_repP1-7_rep2,47.39,74.36,47.75,48.41
Ezh1.4_repP1-7_rep2,76.76,30.85,44.94,72.45
Ezh2.1_repP1-7_rep2,47.57,44.63,46.54,46.66
Ezh2.2_repP1-7_rep2,49.87,55.40,48.35,62.07
Ezh2.3_repP1-7_rep2,50.17,45.74,49.00,61.96
Ezh2.4_repP1-7_rep2,59.46,53.79,46.07,46.36
Fbxl19.1_repP1-7_rep2,50.13,71.08,47.81,72.69
Fbxl19.2_repP1-7_rep2,47.38,60.64,44.02,46.69
Fbxl19.3_repP1-7_rep2,47.26,56.21,56.35,47.46
Fbxl19.4_repP1-7_rep2,58.56,45.48,46.88,49.19
Fbxo17.1_repP1-7_rep2,49.25,62.00,50.04,48.44
Fbxo17.2_repP1-7_rep2,28.11,74.95,67.85,46.25
Fbxo17.3_repP1-7_rep2,45.57,48.73,46.69,46.72
Fbxo44.1_repP1-7_rep2,47.47,52.28,47.31,53.74
Fbxo44.2_repP1-7_rep2,46.82,45.21,45.84,54.38
Fbxo44.3_repP1-7_rep2,59.97,45.48,47.38,52.10
Fbxo44.4_repP1-7_rep2,47.18,45.48,46.54,59.57
Fbxw9.1_repP1-7_rep2,46.50,72.41,47.26,48.62
Fbxw9.2_repP1-7_rep2,55.32,46.13,54.12,46.71
Fbxw9.3_repP1-7_rep2,48.92,44.89,51.22,52.53
Fbxw9.4_repP1-7_rep2,51.24,44.95,45.94,48.62
Fkbp1a.1_repP1-7_rep2,49.03,65.06,47.29,46.72
Fkbp1a.3_repP1-7_rep2,49.54,49.83,49.58,51.78
Fkbp1a.4_repP1-7_rep2,65.63,45.48,55.66,46.49
Fkbp2.1_repP1-7_rep2,50.04,52.29,46.56,45.86
Fkbp2.2_repP1-7_rep2,57.08,50.91,50.82,54.06
Fkbp2.3_repP1-7_rep2,47.89,46.32,46.56,61.68
Fkbp5.1_repP1-7_rep2,47.39,45.02,46.91,45.75
Fkbp5.2_repP1-7_rep2,47.34,57.14,49.52,25.66
Fkbp5.3_repP1-7_rep2,72.36,74.22,46.55,56.92
Fosb.2_repP1-7_rep2,46.94,45.19,54.38,46.45
Fosb_repP1-7_rep2,47.97,64.09,46.32,46.47
Gadd45a.1_repP1-7_rep2,72.25,71.10,46.57,55.39
Gadd45a.2_repP1-7_rep2,49.29,76.24,46.52,46.62
Gadd45a.3_repP1-7_rep2,53.82,44.51,46.46,48.05
Gadd45a.4_repP1-7_rep2,28.10,47.04,46.35,32.37
Gadd45b.1_repP1-7_rep2,47.39,49.47,47.79,51.41
Gadd45b.2_repP1-7_rep2,52.66,45.48,66.33,45.01
Gadd45b.3_repP1-7_rep2,49.05,45.49,48.06,46.71
Gadd45b.4_repP1-7_rep2,46.51,46.53,46.39,59.46
Gtf2b.1_repP1-7_rep2,46.08,59.15,46.56,55.16
Gtf2b.2_repP1-7_rep2,73.95,69.12,46.59,61.01
Gtf2b.3_repP1-7_rep2,50.94,70.86,33.81,50.63
Gtf2b.4_repP1-7_rep2,52.50,60.78,47.67,53.90
Gtf2f1.1_repP1-7_rep2,45.80,45.48,52.34,66.64
Gtf2f1.2_repP1-7_rep2,47.98,71.47,46.66,62.26
Gtf2f1.3_repP1-7_rep2,46.98,50.49,51.04,70.48
Gtf2f1.4_repP1-7_rep2,62.87,49.73,71.71,44.74
Gtf2h1.1_repP1-7_rep2,55.65,50.04,46.83,42.06
Gtf2h1.2_repP1-7_rep2,50.26,70.28,71.86,70.76
Gtf2h1.3_repP1-7_rep2,53.34,49.52,44.06,45.70
