Position,Pool,shRNA,Percentage
8_C03,2,Kat2b.1,0.691669228
8_C04,2,Jmjd5.2,1.648460775
8_C05,2,Kdm4c.2,1.30172013
8_C06,2,Kdm3b.1,0
8_C07,2,Kdm3a.2,0.956022945
8_C08,2,Kat2a.2,1.13452188
8_C09,2,Kdm4d.1,0.833333333
8_C10,2,Kdm2b.2,3.057353269
8_C11,2,Kdm1b.1,1.558935361
8_D02,2,Jmjd6.2,1.933145389
8_D03,2,Kdm4d.2,4.29326288
8_D04,2,Kdm2b.3,2.005571031
8_D05,2,Kat5.1,2.415566987
8_D06,2,Kat2b.2,2.544270303
8_D07,2,Kdm4d.3,3.330184223
8_D08,2,Kdm3b.2,1.400329489
8_D09,2,Kdm1a.2,0.895795247
8_D10,2,Jmjd5.3,2.176278564
8_D11,2,Kdm5a.2,1.958589815
8_E02,2,Kdm1b.2,2.762264151
8_E03,2,Kdm2a.2,2.109053498
8_E04,2,Jmjd5.4,1.281588448
8_E05,2,Kdm4a.3,1.643426295
8_E06,2,Kdm3a.3,2.551127978
8_E07,2,Kat5.2,2.550663871
8_E08,2,Jmjd6.3,1.614832536
8_E09,2,Kdm4c.3,3.470483005
8_E10,2,Kdm3b.3,4.440559441
8_E11,2,Kdm1a.3,4.583754634
8_F02,2,Kat2a.3,1.939753537
8_F03,2,Kdm5a.3,3.898754848
8_F04,2,Kdm3a.4,1.811346548
8_F05,2,Kat5.3,1.611535199
8_F06,2,Kat2b.3,2.61928934
8_F07,2,Kdm4a.4,1.828410689
8_F08,2,Kdm2a.3,2.561394243
8_F09,2,Kdm1b.3,1.612903226
8_F10,2,Kat2b.4,1.661392405
8_F11,2,Kdm4c.4,3.191819027
8_G02,2,Kdm3b.4,2.36869207
8_G03,2,Kdm1b.4,2.952696595
8_G04,2,Jmjd6.4,2.396514161
8_G05,2,Kdm5a.4,1.386511469
8_G06,2,Kdm4d.4,2.532299742
8_G07,2,Kat5.4,2.840646651
8_G08,2,Kat2a.4,11.11111111
8_G09,2,Kdm2b.4,2.189781022
8_G10,2,Kdm1a.4,16.42638707
8_G11,2,Kdm2a.4,3.274288782
12_B02,2,Pcgf2.1,0
12_B03,2,Phf20.1,2.693726937
12_B04,2,Phf20l1.1,3.066151618
12_B05,2,Phf2.1,0.925390399
12_B06,2,Pcgf6.1,2.200880352
12_B07,2,Prdm1.1,1.07696726
12_B08,2,Phip.1,2.155928804
12_B09,2,Phf1.1,1.306477953
12_B10,2,Pcgf5.1,1.489361702
12_B11,2,Polr2b.1,1.368343195
12_C02,2,Phip.2,1.729355815
12_C03,2,Pcmt1.1,1.961265016
12_C04,2,Pcgf2.2,2.19890055
12_C05,2,Polr2b.2,3.357314149
12_C06,2,Phf8.1,1.351808043
12_C07,2,Phf20l1.2,2.870159453
12_C08,2,Pcgf6.2,0.743977326
12_C09,2,Ppargc1a.1,1.121164437
12_C10,2,Phf20.2,2.568093385
12_C11,2,Phf19.1,2.17020239
12_D02,2,Pcgf5.2,1.052957572
12_D03,2,Ppargc1a.2,1.779053085
12_D04,2,Phf20.3,1.691331924
12_D05,2,Phc1.1,1.25
12_D06,2,Pcmt1.2,1.597444089
12_D07,2,Ppargc1a.3,1.551991723
12_D08,2,Phf8.2,1.351351351
12_D09,2,Phf1.2,2.241962775
12_D10,2,Pcgf2.3,2.149382053
12_D11,2,Prdm1.2,1.223845243
12_E02,2,Phf19.2,2.246181491
12_E03,2,Phf2.2,0.720906282
12_E04,2,Pcgf2.4,2.111984283
12_E05,2,Phip.3,1.577669903
12_E06,2,Phf20l1.3,1.234567901
12_E07,2,Phc1.2,1.740733156
12_E08,2,Pcgf5.3,0.924468922
12_E09,2,Polr2b.3,1.5651679
12_E10,2,Phf8.3,1.539538139
12_E11,2,Phf1.3,1.500223914
12_F02,2,Pcgf6.3,1.154734411
12_F03,2,Prdm1.3,1.934731935
12_F04,2,Phf20l1.4,1.222596965
12_F05,2,Phc1.3,0.340136054
12_F06,2,Pcmt1.3,0.781968721
12_F07,2,Phip.4,1.199261993
12_F08,2,Phf2.3,1.79910045
12_F09,2,Phf19.3,1.212908815
12_F10,2,Pcmt1.4,2.104630186
12_F11,2,Polr2b.4,5.454545455
12_G02,2,Phf8.4,0
12_G03,2,Phf19.4,1.989247312
12_G04,2,Pcgf5.4,0.76318743
12_G05,2,Prdm1.4,1.57116451
12_G06,2,Ppargc1a.4,1.301518438
12_G07,2,Phc1.4,0.95703125
12_G08,2,Pcgf6.4,1.824632539
12_G09,2,Phf20.4,1.13960114
12_G10,2,Phf1.4,1.414979263
12_G11,2,Phf2.4,2.176696543
9_B02,2,Kdm5b.1,3.727008712
9_B03,2,L3mbtl4.1,1.475641803
9_B04,2,Mbd1.1,1.851851852
9_B05,2,L3mbtl3.1,2.312138728
9_B06,2,Kdm5d.1,1.683840161
9_B07,2,Men1.1,1.623875357
9_B08,2,Mbd3.1,3.058929375
9_B09,2,L3mbtl1.1,2.024291498
9_B10,2,Kdm5c.1,2.706057597
