Position,Pool,shRNA,GeoMean
11_G02,2,Padi6.4,478.425864786658
11_G03,2,Nsd1.4,428.799957733398
11_G04,2,Nap1l3.4,371.723145296218
11_G05,2,Pcgf1.4,374.607266365089
11_G06,2,Pbrm1.4,545.759414703522
11_G07,2,Ncor1.4,173.285961328484
11_G08,2,Ncoa1.4,406.142884793407
11_G09,2,Padi1.4,410.164777998565
11_G10,2,Ncor2.4,634.590404525353
11_G11,2,Orc1.4,468.468490682018
12_B02,2,Pcgf2.1,41.6492448504931
12_B03,2,Phf20.1,361.073970820436
12_B04,2,Phf20l1.1,463.880330566994
12_B05,2,Phf2.1,477.738898252991
12_B06,2,Pcgf6.1,354.566514961003
12_B07,2,Prdm1.1,792.676717346096
12_B08,2,Phip.1,472.801654023116
12_B09,2,Phf1.1,443.214372289352
12_B10,2,Pcgf5.1,285.458563290247
12_B11,2,Polr2b.1,616.072032603243
12_C02,2,Phip.2,435.122129383216
12_C03,2,Pcmt1.1,345.825209953736
12_C04,2,Pcgf2.2,377.77571306103
12_C05,2,Polr2b.2,326.187048621463
12_C06,2,Phf8.1,435.424612727571
12_C07,2,Phf20l1.2,414.316001150285
12_C08,2,Pcgf6.2,539.811541042381
12_C09,2,Ppargc1a.1,577.343341147133
12_C10,2,Phf20.2,527.995803371156
12_C11,2,Phf19.1,589.897124642091
12_D02,2,Pcgf5.2,280.804454959313
12_D03,2,Ppargc1a.2,364.455683984598
12_D04,2,Phf20.3,493.164232453021
12_D05,2,Phc1.1,365.644471601747
12_D06,2,Pcmt1.2,165.253263206416
12_D07,2,Ppargc1a.3,416.980338114421
12_D08,2,Phf8.2,372.69672851717
12_D09,2,Phf1.2,508.361599381173
12_D10,2,Pcgf2.3,607.148721248656
12_D11,2,Prdm1.2,420.116215804683
12_E02,2,Phf19.2,406.529974931392
12_E03,2,Phf2.2,469.512558698608
12_E04,2,Pcgf2.4,258.951219967094
12_E05,2,Phip.3,457.420961122449
12_E06,2,Phf20l1.3,336.333537403944
12_E07,2,Phc1.2,446.715862767005
