type,shRNA,count,ZScore,nbRawCount
target,L3mbtl1.3,160514,3.1327919343581874,97.79879442880511
target,L3mbtl1.4,43433,0.4959547134916061,85.00743840038707
target,L3mbtl2.1,5155,-0.36612243942245337,55.618963436533896
target,L3mbtl2.3,518,-0.4705545350926162,32.91248296508114
target,L3mbtl2.4,2219,-0.43224550021339536,45.9925847720306
target,L3mbtl3.1,1213,-0.45490210755525085,40.05032014610638
target,L3mbtl3.2,2159,-0.43359678892165715,45.70600136974892
target,L3mbtl3.3,1533,-0.4476952344445215,42.262674565775235
target,L3mbtl3.4,36181,0.33262895161970163,82.51430023159469
target,L3mbtl4.1,26362,0.11149055451266494,78.03398749757764
target,L3mbtl4.2,51714,0.6824550767101997,87.28953416147608
target,L3mbtl4.3,2932,-0.4161876860635515,48.99951069118517
target,L3mbtl4.4,1482,-0.448843829846544,41.935957861241526
target,Mbd1.1,28991,0.17069952141300096,79.39360517002065
target,Mbd1.2,178,-0.47821183777276616,25.704822910873858
target,Mbd1.3,2717,-0.4210298039348228,48.16056160039419
target,Mbd1.4,21604,0.004333359947507547,75.16846289499153
target,Mbd2.2,2616,-0.4233044732603968,47.74805106467517
target,Mbd2.3,8525,-0.2902250569750846,62.10133256955332
target,Mbd2.4,1253,-0.45400124841640965,40.3501798052978
target,Mbd3.1,2936,-0.41609760014966735,49.0146469598582
target,Mbd3.2,57125,0.8043187967169392,88.53567606074859
target,Mbd3.3,210,-0.4774911504616932,26.707250138327172
target,Mbd3.4,2209,-0.4324707149981057,45.945250085817875
target,Mbd4.1,92717,1.605903258457814,93.82563161488032
target,Mbd4.2,18061,-0.07546023827534926,72.58762282245354
target,Mbd4.3,25855,0.10007216492785309,77.75526659499312
target,Mbd4.4,13822,-0.17092878551404245,68.76888789847992
target,Mecom.1,5771,-0.3522492086842993,57.02755671863056
target,Mecom.2,551,-0.46981132630307226,33.38576144416242
target,Mecom.3,2755,-0.4201739877529237,48.31260372940259
target,Mecom.4,4988,-0.36988352632711524,55.21322690151151
target,Mecp2.1,0,-0.4822206609406094,7.0087147077449705
target,Mecp2.2,51,-0.4810720655385869,19.264556516252
target,Mecp2.3,1,-0.48219813946213835,8.638498558565196
target,Men1.1,1917,-0.4390469867116462,44.48200578335857
target,Men1.3,3479,-0.40386843733989847,50.931119075823126
target,Men1.4,11416,-0.22511546271533894,66.08701411095936
target,Mll1.1,680,-0.46690605558030945,35.048507281123406
target,Mll1.2,33227,0.26610050421628106,81.32460467710749
target,Mll1.3,17105,-0.09699077169365326,71.80659048097712
target,Mll1.4,52,-0.48104954406011585,19.35066622726543
target,Mll2.1,59952,0.867987016354539,89.12386587529983
target,Mll2.2,87059,1.47847673326873,93.2227904139988
target,Mll2.3,0,-0.4822206609406094,7.0087147077449705
target,Mll2.4,373,-0.47382014947091544,30.505007481589303
target,Mll3.2,68448,1.0593294974444039,90.67533086245002
target,Mll3.3,11665,-0.21950761457605264,66.38704894252061
target,Mll3.4,10996,-0.23457448367317124,65.56746241334753
target,Mll5.1,98728,1.741279865547171,94.39845595441018
target,Mll5.2,24059,0.059623589593884474,76.71990224011715
target,Mll5.3,15183,-0.14027705331497156,70.10229595850682
target,Mll5.4,12603,-0.19838246777022717,67.46803292775701
target,Morf4l1.2,302384,6.327914085043114,99.67738115047776
target,Morf4l1.3,26290,0.10986900806275084,77.99475096388144
target,Morf4l1.4,55503,0.7677889586369296,88.17957623880511
control,Ms4a1,3247,-0.40909342034517726,50.14394796926944
control,Ms4a1.2,0,-0.4822206609406094,7.0087147077449705
target,Msl3.1,5635,-0.3553121297563593,56.72766531200936
target,Msl3.2,11923,-0.21369707313052708,66.69194725724601
target,Msl3.3,27743,0.1425927162811564,78.76536424708551
target,Msl3.4,3372,-0.4062782355362986,50.57348655505282
target,Mta1.1,10221,-0.25202862948821897,64.56082952030327
target,Mta1.2,53,-0.4810270225816448,19.435528114380258
target,Mta1.3,3033,-0.41391301673797753,49.37675018664595
target,Mta1.4,31958,0.23752074803654488,80.77613680545461
