Protein1,Protein2,Score
23326|USP22|Q9UPT9,158880|USP51|Q70EK9,37.85087346
196528|ARID2|Q68CP9,6599|SMARCC1|Q92922,37.78324592
196528|ARID2|Q68CP9,55193|PBRM1|Q86U86,37.72364655
53615|MBD3|O95983,23512|SUZ12|Q15022,37.59111645
84678|KDM2B|Q8NHM5,648|BMI1|P35226,37.58975336
9219|MTA2|O94776,2146|EZH2|Q15910,37.57990046
6598|SMARCB1|Q12824,55274|PHF10|Q8WUB8,37.48689339
57332|CBX8|Q9HC52,84333|PCGF5|Q86SE9,37.26003428
5931|RBBP7|Q16576,2146|EZH2|Q15910,37.15196334
57504|MTA3|Q9BTC8,1108|CHD4|Q14839,36.78585542
57504|MTA3|Q9BTC8,2146|EZH2|Q15910,36.75072892
8726|EED|O75530,9219|MTA2|O94776,36.60922391
22823|MTF2|Q9Y483,5931|RBBP7|Q16576,36.48392696
22823|MTF2|Q9Y483,9219|MTA2|O94776,36.47631255
196528|ARID2|Q68CP9,6597|SMARCA4|P51532,36.40798292
83746|L3MBTL2|Q969R5,6045|RNF2|Q99496,36.05409201
3054|HCFC1|P51610,30827|CXXC1|Q9P0U4,35.8782431
25942|SIN3A|Q96ST3,9219|MTA2|O94776,35.80708071
8726|EED|O75530,8932|MBD2|Q9UBB5,35.62208332
9112|MTA1|Q13330,3066|HDAC2|Q92769,35.58870706
86|ACTL6A|O96019,55193|PBRM1|Q86U86,35.56893546
22823|MTF2|Q9Y483,8932|MBD2|Q9UBB5,35.49897485
1912|PHC2|Q8IXK0,80012|PHC3|Q8NDX5,35.48078659
57504|MTA3|Q9BTC8,23512|SUZ12|Q15022,35.1469825
8726|EED|O75530,5931|RBBP7|Q16576,35.08058325
3065|HDAC1|Q13547,9219|MTA2|O94776,35.07911118
9070|ASH2L|Q9UBL3,80335|WDR82|Q6UXN9,34.85706122
22955|SCMH1|Q96GD3,80012|PHC3|Q8NDX5,34.85701464
7703|PCGF2|P35227,1911|PHC1|P78364,34.85479425
79960|PHF17|Q6IE81,7994|KAT6A|Q92794,34.63547622
79960|PHF17|Q6IE81,7862|BRPF1|P55201,34.57895677
9112|MTA1|Q13330,2186|BPTF|Q12830,34.34265988
6603|SMARCD2|Q92925,55274|PHF10|Q8WUB8,34.32227269
6119|RPA3|P35244,6596|HLTF|Q14527,34.05983133
7703|PCGF2|P35227,80012|PHC3|Q8NDX5,34.05937192
8805|TRIM24|O15164,51592|TRIM33|Q9UPN9,33.99330277
58508|MLL3|Q8NEZ4,84661|DPY30|Q9C005,33.94682388
8850|KAT2B|Q92831,2648|KAT2A|Q92830,33.9154913
1108|CHD4|Q14839,8932|MBD2|Q9UBB5,33.52517091
1911|PHC1|P78364,1912|PHC2|Q8IXK0,33.52290666
9739|SETD1A|O15047,7403|KDM6A|O15550,33.48476879
53615|MBD3|O95983,5931|RBBP7|Q16576,33.35894261
8932|MBD2|Q9UBB5,2146|EZH2|Q15910,33.27446345
23326|USP22|Q9UPT9,389856|USP27X|A6NNY8,33.17065431
22955|SCMH1|Q96GD3,6045|RNF2|Q99496,33.05482326
53615|MBD3|O95983,2146|EZH2|Q15910,33.0086536
23326|USP22|Q9UPT9,8850|KAT2B|Q92831,32.91105158
9739|SETD1A|O15047,84661|DPY30|Q9C005,32.58202496
10036|CHAF1A|Q13111,1108|CHD4|Q14839,32.49532615
1912|PHC2|Q8IXK0,6045|RNF2|Q99496,32.46639582
4221|MEN1|O00255,30827|CXXC1|Q9P0U4,32.42963703
53615|MBD3|O95983,8726|EED|O75530,32.34405692
8726|EED|O75530,2186|BPTF|Q12830,32.24588928
23512|SUZ12|Q15022,9112|MTA1|Q13330,32.23594957
22823|MTF2|Q9Y483,53615|MBD3|O95983,32.21511016
9739|SETD1A|O15047,3054|HCFC1|P51610,32.20009507
22823|MTF2|Q9Y483,2186|BPTF|Q12830,32.13316585
1911|PHC1|P78364,22955|SCMH1|Q96GD3,32.10004113
4221|MEN1|O00255,3054|HCFC1|P51610,31.83699353
23512|SUZ12|Q15022,8932|MBD2|Q9UBB5,31.80278254
7703|PCGF2|P35227,6045|RNF2|Q99496,31.75294559
11091|WDR5|P61964,3054|HCFC1|P51610,31.70535555
9070|ASH2L|Q9UBL3,22992|KDM2A|Q9Y2K7,31.64153543
389856|USP27X|A6NNY8,158880|USP51|Q70EK9,31.52625861
84678|KDM2B|Q8NHM5,6045|RNF2|Q99496,31.23452004
86|ACTL6A|O96019,196528|ARID2|Q68CP9,31.14697548
196528|ARID2|Q68CP9,6601|SMARCC2|Q8TAQ2,31.0945467
84759|PCGF1|Q9BSM1,6045|RNF2|Q99496,30.97370573
53615|MBD3|O95983,25942|SIN3A|Q96ST3,30.95857208
7290|HIRA|P54198,8520|HAT1|O14929,30.90922409
6015|RING1|Q06587,1911|PHC1|P78364,30.86340857
57504|MTA3|Q9BTC8,3066|HDAC2|Q92769,30.81248561
1108|CHD4|Q14839,8208|CHAF1B|Q13112,30.56669603
1107|CHD3|Q12873,2186|BPTF|Q12830,30.35517421
55274|PHF10|Q8WUB8,55193|PBRM1|Q86U86,30.27424538
648|BMI1|P35226,23466|CBX6|O95503,30.26056238
7703|PCGF2|P35227,1912|PHC2|Q8IXK0,30.18301347
2146|EZH2|Q15910,2186|BPTF|Q12830,30.10119633
8932|MBD2|Q9UBB5,1107|CHD3|Q12873,30.06198196
