shRNA,Q1,Q2,Q3,Q4,exp
Chd3.2,-352.4555933,29.21464465,0,-380.3602647,P1-7_rep1
Chd3.3,-4003.601184,-3685.519498,-145.658728,-2563.437012,P1-7_rep1
Chd3.4,3816.397372,3953.425609,14545.26912,1176.058956,P1-7_rep1
Chd4.1,-5969.899529,-2699.532369,0,-4920.663037,P1-7_rep1
Chd4.2,1088.419486,16947.8025,-495297.3457,4482.979162,P1-7_rep1
Chd4.3,-4020.14451,-3896.276594,-112510.8988,5543.746234,P1-7_rep1
Chd4.4,-3241.688296,-3243.737277,81853.63689,14386.83021,P1-7_rep1
Chd5.1,515.0157973,-1865.706437,22780.37531,6031.0965,P1-7_rep1
Chd5.2,-2904.294242,-3425.615969,-75710.38051,393.176578,P1-7_rep1
Chd5.3,-77.03474486,17009.68468,8174.966603,1101.665217,P1-7_rep1
Chd5.4,-7108.678198,-1978.785249,4201.887051,-6960.331169,P1-7_rep1
Chd6.1,687.6933702,1259.776387,-3.011438699,1336.152537,P1-7_rep1
Chd6.2,3290.95969,4456.017416,16729.62307,-226.0835416,P1-7_rep1
Chd6.3,1359.465095,8242.740723,-744789.1022,-10893.62763,P1-7_rep1
Chd6.4,-356.0985274,-390.6621256,-132.5033027,-356.7158868,P1-7_rep1
Chd7.1,2.602095837,1.649810492,0,1.390845763,P1-7_rep1
Chd7.2,-3.011438699,4.412708516,-6516.753344,769.6033828,P1-7_rep1
Chd7.3,5.204191674,0,522.5845193,0,P1-7_rep1
Chd8.1,-34401.80908,-26471.26276,47979.96107,-34798.39835,P1-7_rep1
Chd8.2,94666.07006,78257.24019,380783.194,42470.93287,P1-7_rep1
Chd8.3,-8012.854223,-5323.930142,-86580.77272,283.0060511,P1-7_rep1
Chd8.4,-1307.748583,-4341.426554,-72940.47777,-114.021672,P1-7_rep1
Chd9.1,-85.45258104,14498.06902,64111.96346,25094.28201,P1-7_rep1
Chd9.2,-1854.16599,-1597.858873,-99.37747706,-1674.007579,P1-7_rep1
Chd9.3,-2038.010523,5855.515172,84794.43403,16648.4358,P1-7_rep1
Chd9.4,-22682.62872,-9977.172743,74998.65806,-326.2092435,P1-7_rep1
Clock.1,-6.432220259,-4.08488462,-2918.084099,-9.034316096,P1-7_rep1
Clock.2,-6.952639426,-8.20941085,-2887.969712,-9.034316096,P1-7_rep1
Clock.3,0,0,-389565.7329,0,P1-7_rep1
Crebbp.1,-102916.4946,-99067.72587,-13824.21273,-106308.9973,P1-7_rep1
Crebbp.2,641.1619442,4748.881484,-101359.6793,299.35016,P1-7_rep1
Crebbp.3,-3792.367452,-18246.32404,-81161.55561,-8037.463626,P1-7_rep1
Crebbp.4,-3173.63684,-3326.695932,0,-3353.351865,P1-7_rep1
Ctsl.1,-21125.24057,-6155.581588,-6314.325679,-11710.58193,P1-7_rep1
Ctsl.2,-17177.08404,-12650.06266,2986.072201,-19802.60175,P1-7_rep1
Ctsl.3,-9534.848918,-5211.604996,0,-2385.028697,P1-7_rep1
Ctsl.4,-231565.9996,-223354.4412,2658.52829,-233719.7798,P1-7_rep1
Cxxc1.1,-3435.047987,-568.7175407,-104557.1516,-7628.362652,P1-7_rep1
Cxxc1.2,-8592.457969,-2200.871429,-42711.53835,-9768.325177,P1-7_rep1
Cxxc1.3,-2273.242415,-2928.872488,-3079.599261,361.2695179,P1-7_rep1
Cxxc1.4,4782.510967,-11108.30994,108656.9565,2488.935497,P1-7_rep1
Dmap1.1,-5980.660369,-7128.946192,-559985.0613,-6404.036134,P1-7_rep1
Dmap1.2,-3696.663768,12782.65496,29891.47746,-3263.740255,P1-7_rep1
Dmap1.3,1058.877864,4033.499795,-1412.36475,8358.061975,P1-7_rep1
Dmap1.4,258.8137869,695.2921834,9891.528296,2180.819319,P1-7_rep1
Dnmt1.1,0,0,-182161.9269,0,P1-7_rep1
Dnmt1.2,11343.56137,36803.91008,155101.43,17480.10167,P1-7_rep1
Dnmt1.3,-222.7827282,-285.2221295,-62005.75711,-295.1209925,P1-7_rep1
Dnmt1.4,-28143.34482,-28144.90608,-8865.675529,-28137.25643,P1-7_rep1
Dnmt3a.1,5833.55951,9133.084356,47100.46401,13698.84566,P1-7_rep1
Dnmt3a.2,909.8999763,-282.1514659,-4908.879381,15583.80242,P1-7_rep1
Dnmt3a.3,25547.36442,17960.16029,97734.54448,-1382.454425,P1-7_rep1
Dnmt3a.4,19112.2704,-301.1922332,123484.391,6940.747638,P1-7_rep1
Dnmt3b.1,-805063.61,-793228.5746,-104658.218,-800670.5614,P1-7_rep1
Dnmt3b.2,-12309.33118,14909.71904,213605.626,42306.12049,P1-7_rep1
Dnmt3b.3,7833.621365,13403.90123,5951.311696,2500.839429,P1-7_rep1
Dnmt3b.4,-17937.0954,-10668.5958,6116.017901,15151.20151,P1-7_rep1
Dnmt3l.1,-76573.40284,-74630.59364,186.2061024,-68760.96811,P1-7_rep1
Dnmt3l.2,-5209.250621,-1291.407099,31442.16858,-6194.710736,P1-7_rep1
Dnmt3l.3,-14318.3033,-9664.482884,2700.185334,-14375.4896,P1-7_rep1
Dnmt3l.4,-145.8025023,-862.724869,-7567.74545,2601.912828,P1-7_rep1
Dot1l.1,-2082.762286,7401.372194,111577.8725,14794.8476,P1-7_rep1
Dot1l.2,288.6864647,-3356.115505,486.3437783,-1317.618345,P1-7_rep1
Dot1l.3,34.50074733,-1692.163547,9565.286723,10117.50655,P1-7_rep1
Dot1l.4,0,0,-1966.46947,11856.26471,P1-7_rep1
Dpy30.1,0,0,-852.2371517,0,P1-7_rep1
Dpy30.2,156.5700555,1894.310269,-22781.53376,-5.091525979,P1-7_rep1
Dpy30.3,0,0,-45.17158048,0,P1-7_rep1
Dub2a.1,205.0921631,3189.373187,83175.53357,10662.92933,P1-7_rep1
Dub2a.2,83.0037626,256.0880918,-3.011438699,-18.29837936,P1-7_rep1
Dub2a.3,-2677.003018,-7056.002677,-1177.307213,-2034.983695,P1-7_rep1
Dub2a.4,-13555.14348,-11926.82823,13376.49313,-9767.969884,P1-7_rep1
Eaf1.1,-3516.159631,-2826.91963,-2770.427269,-417.5103524,P1-7_rep1
Eaf1.2,-4.982039063,-6.022877397,0,-3.241185871,P1-7_rep1
Eaf1.3,1.040838335,0,0,1.390845763,P1-7_rep1
Eed.1,-6.022877397,15.424659,-23254.32963,-6.022877397,P1-7_rep1
Eed.2,28386.93936,15321.61576,23482.87426,4375.610944,P1-7_rep1
Eed.3,-28117.27264,-23103.26971,0,-28520.33872,P1-7_rep1
Eed.4,-43113.51019,-37608.49109,-143047.0252,-36863.76307,P1-7_rep1
Ehmt1.1,5382.188592,6078.136105,-44276.11515,3851.183885,P1-7_rep1
Ehmt1.2,-276505.3743,-279020.1732,-13295.77065,-276031.559,P1-7_rep1
Ehmt1.3,-113.8217427,-184.5333569,220485.1923,-148.6535998,P1-7_rep1
Ehmt1.4,-164879.9962,-165085.4807,-4358.489007,-161022.4783,P1-7_rep1
Ehmt2.1,-1549.242303,-4888.796647,11054.17079,-8055.780889,P1-7_rep1
Ehmt2.2,1595.509692,8996.789747,68858.32149,10015.44724,P1-7_rep1
Ehmt2.3,36178.15394,33177.14773,35737.10694,22592.24324,P1-7_rep1
Ehmt2.4,10954.46819,1608.780747,-9562.696334,2126.170399,P1-7_rep1
Elp3.1,-61670.27417,-60071.83668,-18887.74352,-62092.15911,P1-7_rep1
Elp3.2,-1394.42675,-2526.493756,-6820.908653,-2037.76838,P1-7_rep1
Elp3.4,-817.5229436,1518.31374,-24197.88165,-3712.206581,P1-7_rep1
Elp4.1,-3513.414329,-268.9210105,15376.86031,4146.861122,P1-7_rep1
Elp4.2,-11024.84277,-2879.334662,50559.95887,-11543.53688,P1-7_rep1
Elp4.3,-8917.537568,25826.21867,38844.37409,-9967.968329,P1-7_rep1
Elp4.4,-46707.05166,53505.30366,642948.4878,170135.8282,P1-7_rep1
Ep300.2,-6078.428588,-5807.677793,2961.312276,-3812.289809,P1-7_rep1
Ep300.3,-3487.883832,-6232.405604,-5211.49805,-7191.748347,P1-7_rep1
Ep400.1,-6067.195269,10176.71276,36929.30603,-8168.764053,P1-7_rep1
Ep400.2,8985.262436,-223.8197194,-91198.40955,2955.821261,P1-7_rep1
Ep400.3,2677.830126,8389.999901,14605.22196,-87.51201852,P1-7_rep1
Ep400.4,-4990.25219,-4687.462239,-3936.991065,-4995.976801,P1-7_rep1
Epc1.1,132.8343587,337.1956062,-2177.270179,-47.18985411,P1-7_rep1
Epc1.2,-45361.95368,-40643.0066,-7143.167086,-41826.8365,P1-7_rep1
Epc1.3,243.0587253,-5287.661938,117224.9194,25343.92127,P1-7_rep1
Epc1.4,-2735.737822,-2789.258574,0,-2185.635871,P1-7_rep1
Epc2.1,-1032.8149,2589.093356,609.6819392,2722.835015,P1-7_rep1
Epc2.2,7384.706834,964.4331575,-27714.27034,3293.541311,P1-7_rep1
Epc2.3,-338.0516248,3402.93452,-21751.80132,10383.36208,P1-7_rep1
Epc2.4,290.6192572,8021.84084,7213.042669,-20733.01591,P1-7_rep1
Ercc5.1,-7621.891432,2932.222138,-9302.671919,-5729.184455,P1-7_rep1
Ercc5.2,-740.0082719,524.4713277,-19119.19019,1170.37709,P1-7_rep1
Ercc5.3,-669.0607992,-2892.35347,-560.127598,-2742.117385,P1-7_rep1
Ercc5.4,-599.1633814,-90.6041914,-3363.777026,-42.59802071,P1-7_rep1
Ezh1.2,-31958.91767,34092.35612,52893.83101,33292.27285,P1-7_rep1
Ezh1.3,-612.116644,1601.822083,-30482.40337,4393.408711,P1-7_rep1
