gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
PAF1,RNF20,pp,21,4.58257569495584
ASH2L,CXXC1,pp,27,5.196152422706632
HDAC3,HDAC5,pp,31,5.5677643628300215
ING2,SIN3B,pp,14,3.7416573867739413
ING2,SMARCC1,pp,14,3.7416573867739413
KMT2D,WDR5,pp,15,3.872983346207417
CBX3,CHAF1A,pp,38,6.164414002968976
HDAC3,PRDM6,pp,31,5.5677643628300215
NCOA1,TRIM24,pp,16,4.0
BRPF1,GTF2H1,pp,6,2.449489742783178
AFF4,KMT2A,pp,3,1.7320508075688772
CARM1,SMARCC2,pp,24,4.898979485566356
HDAC5,NCOR2,pp,25,5.0
CARM1,SMARCC1,pp,24,4.898979485566356
BMI1,CBX8,pp,57,7.54983443527075
EED,SSRP1,pp,87,9.327379053088816
CBX3,TRIM28,pp,38,6.164414002968976
CBX3,TRIM24,pp,38,6.164414002968976
GTF2B,NCOA1,pp,8,2.8284271247461903
HDAC3,PRDM4,pp,31,5.5677643628300215
HDAC3,TRIM28,pp,31,5.5677643628300215
NCOA3,NCOR1,pp,16,4.0
ACTB,SMARCC2,pp,18,4.242640687119285
DMAP1,ING3,pp,18,4.242640687119285
EP400,SMARCA4,pp,23,4.795831523312719
CREBBP,WDR5,pp,38,6.164414002968976
SMARCD3,SMARCE1,pp,12,3.4641016151377544
EP400,EPC1,pp,23,4.795831523312719
CHD3,SMARCC2,pp,51,7.14142842854285
AFF1,AFF4,pp,8,2.8284271247461903
PRMT6,SMARCD1,pp,7,2.6457513110645907
MECP2,NCOR1,pp,21,4.58257569495584
CBX7,PCGF1,pp,14,3.7416573867739413
DNMT1,UHRF1,pp,40,6.324555320336759
CBX8,KMT2A,pp,26,5.0990195135927845
NCOR1,SMARCC1,pp,34,5.830951894845301
CXXC1,DPY30,pp,16,4.0
CXXC1,HCFC1,pp,16,4.0
CBX4,PCGF1,pp,26,5.0990195135927845
HDAC2,NCOR2,pp,78,8.831760866327848
CBX4,KDM5B,pp,26,5.0990195135927845
L3MBTL2,MTA3,pp,27,5.196152422706632
EED,SMARCA2,pp,87,9.327379053088816
ACTL6A,SMARCD3,pp,33,5.744562646538029
MBD2,PRMT5,pp,22,4.69041575982343
BAZ1A,SMARCA5,pp,13,3.605551275463989
L3MBTL2,SMARCA5,pp,27,5.196152422706632
ATM,HDAC4,pp,23,4.795831523312719
EED,KDM2A,pp,87,9.327379053088816
CREBBP,JADE1,pp,38,6.164414002968976
CBX1,MECP2,pp,28,5.291502622129181
BMI1,CBX3,pp,57,7.54983443527075
KDM6A,SUZ12,pp,18,4.242640687119285
ACTL6B,SMARCD1,pp,6,2.449489742783178
HDAC3,PARP1,pp,31,5.5677643628300215
KMT2A,WDR5,pp,40,6.324555320336759
BRPF1,KAT7,pp,6,2.449489742783178
ATRX,MECP2,pp,11,3.3166247903554
CBX8,SCML2,pp,26,5.0990195135927845
BRCA1,NAP1L1,pp,56,7.483314773547883
HDAC1,WDR5,pp,91,9.539392014169456
CARM1,WDR5,pp,24,4.898979485566356
CBX8,RING1,pp,26,5.0990195135927845
ACTL6B,SMARCA4,pp,6,2.449489742783178
PAF1,RNF40,pp,21,4.58257569495584
CARM1,EZH2,pp,24,4.898979485566356
BMI1,PRMT6,pp,57,7.54983443527075
BPTF,RBBP7,pp,11,3.3166247903554
NCOR2,SIN3A,pp,16,4.0
BAZ2A,CBX8,pp,8,2.8284271247461903
RNF40,UBE2E1,pp,10,3.1622776601683795
CBX8,PCGF1,pp,26,5.0990195135927845
SMARCC1,SMARCD1,pp,45,6.708203932499369
CBX5,SUV39H1,pp,39,6.244997998398398
GTF2B,GTF2F1,pp,8,2.8284271247461903
CHD3,HDAC3,pp,51,7.14142842854285
KDM6A,KMT2C,pp,18,4.242640687119285
CBX3,EZH1,pp,38,6.164414002968976
KDM2B,PRMT5,pp,15,3.872983346207417
CBX8,SETDB1,pp,26,5.0990195135927845
HDAC1,SETDB1,pp,91,9.539392014169456
KDM5D,KMT2A,pp,2,1.4142135623730951
RNF20,RNF40,pp,9,3.0
BRD2,EZH2,pp,10,3.1622776601683795
KDM5B,NCOR1,pp,23,4.795831523312719
ING2,RBBP7,pp,14,3.7416573867739413
PRMT5,SMARCC1,pp,37,6.082762530298219
BAZ2A,HDAC1,pp,8,2.8284271247461903
HDAC5,WDR5,pp,25,5.0
GTF2H1,TCEA1,pp,4,2.0
FKBP5,KDM6B,pp,3,1.7320508075688772
L3MBTL2,PCGF6,pp,27,5.196152422706632
KMT2E,SMYD3,pp,6,2.449489742783178
BRCA1,UBE2E1,pp,56,7.483314773547883
