source,target,color,edge
HDAC1,ZMYND8,2,pp
HDAC1,WDR5,2,pp
HDAC11,ATAD2,2,pp
HDAC11,POLR2B,2,pp
HDAC11,BAZ1B,2,pp
PAF1,DNMT3A,4,pp
PAF1,DNMT3B,4,pp
DNMT1,ATM,4,pp
ATM,DNMT1,1,pp
ATM,UHRF1,1,pp
DNMT3B,PAF1,5,pp
DNMT3A,PAF1,3,pp
DNMT3A,DNMT1,3,pp
CHAF1A,CBX3,4,pp
ID2,PRMT6,6,pp
ID2,SUV39H1,6,pp
ING4,SUV39H1,1,pp
ING5,PRMT5,3,pp
SMARCD1,PRMT6,2,pp
SUV39H1,PRMT6,4,pp
RPA3,PARP1,6,pp
RPA3,HLTF,6,pp
RPA3,CHD4,6,pp
RPA3,HCFC1,6,pp
RPA3,SMARCA5,6,pp
PARP1,UHRF1,5,pp
UHRF1,PARP1,4,pp
PARP1,DNMT1,5,pp
PRKAA1,FKBP5,4,pp
RNF20,UBE2A,1,pp
RNF20,PAF1,1,pp
TBX21,BCL6,3,pp
UBE2B,UBE2B,1,pp
UBE2A,UBE2A,6,pp
UBE2E1,UBE2E1,4,pp
CHD1L,TRIM33,5,pp
TRIM33,CHD1L,1,pp
PARP1,TRIM33,5,pp
DNMT1,PARP1,4,pp
DNMT3B,CHD4,5,pp
DNMT3B,RBBP7,5,pp
PRMT5,WDR5,4,pp
WDR5,HDAC1,4,pp
BRD4,AFF1,5,pp
PRDM6,PRDM6,5,pp
PRDM6,CBX1,5,pp
PRDM6,HDAC1,5,pp
PRDM6,HDAC2,5,pp
PRDM6,HDAC3,5,pp
TRIM33,UBE2E1,1,pp
PHC1,PHC1,6,pp
PHC2,PRKAA1,3,pp
PHC2,PCGF5,3,pp
SMARCE1,ING5,6,pp
NSD1,ATRX,6,pp
SETD7,SETD7,4,pp
SUV39H1,SUV39H1,4,pp
UBE2A,CBX5,6,pp
UBE2B,CBX5,1,pp
CBX5,UBE2A,5,pp
CBX5,UBE2B,5,pp
SGK1,SGK1,5,pp
CBX3,CHAF1A,2,pp
CBX3,CHAF1B,2,pp
MSL3,PAF1,3,pp
HLTF,UBE2A,2,pp
HLTF,HLTF,2,pp
SIRT6,RNF20,5,pp
SIRT6,RBBP7,5,pp
SIRT6,PRMT5,5,pp
SIRT6,HDAC2,5,pp
SIRT6,HDAC1,5,pp
SIRT6,CHD4,5,pp
CBX3,TRIM24,2,pp
CBX7,PHC3,1,pp
PHF20L1,MBD2,6,pp
PHF20L1,CHD4,6,pp
PHF20L1,RBBP7,6,pp
PHF20L1,HDAC1,6,pp
RBBP7,HDAC2,1,pp
RBBP7,SIN3B,1,pp
RBBP7,MBD2,1,pp
RBBP7,CHD5,1,pp
RBBP7,SMARCA5,1,pp
RBBP7,SMARCA1,1,pp
RBBP7,BPTF,1,pp
SGK1,FKBP5,5,pp
SMARCD1,SMARCD3,2,pp
SMARCD1,ACTL6B,2,pp
PHF1,HDAC1,5,pp
PHF1,EZH1,5,pp
CHD5,RBBP7,3,pp
CHD5,CHD4,3,pp
CHD5,MBD2,3,pp
UBE2A,UBE2B,6,pp
UBE2B,UBE2A,1,pp
SMARCD2,ARID1A,6,pp
SMARCD3,ARID1A,2,pp
SMARCD2,ARID1B,6,pp
SMARCD3,ARID1B,2,pp
HDAC1,EP400,2,pp
SMARCA4,EP400,6,pp
EP400,HDAC2,2,pp
SMARCA5,INO80,5,pp
UBE2A,RPA3,6,pp
SMARCD2,SMARCA4,6,pp
SMARCC1,SMARCD3,6,pp
BCL6,TBX21,3,pp
KMT2A,TAF1,4,pp
KMT2A,SMARCC1,4,pp
KMT2A,HDAC2,4,pp
KMT2A,RBBP7,4,pp
ATM,ACTL6B,1,pp
RUNX3,HDAC1,4,pp
ZMYND8,CHD4,6,pp
ZMYND8,HDAC1,6,pp
ZMYND8,HDAC2,6,pp
ING4,KMT2A,1,pp
HDAC1,AFF1,2,pp
BRD2,POLR2B,2,pp
SIN3B,RBBP7,6,pp
ZMYND8,RBBP7,6,pp
HDAC1,RING1,2,pp
ATM,TAF1,1,pp
ING4,BRPF1,1,pp
BRD2,BRPF1,2,pp
ZMYND8,MBD2,6,pp
ING3,BAZ1B,2,pp
ING4,BRD1,1,pp
ING3,EP400,2,pp
ID2,ELP4,6,pp
ID2,PRMT5,6,pp
MEN1,RNF20,5,pp
ASXL1,HCFC1,1,pp
PCGF5,PCGF5,5,pp
PCGF6,PCGF6,1,pp
CHAF1A,HDAC2,4,pp
HDAC2,CHAF1A,2,pp
CHAF1A,HDAC1,4,pp
CHAF1A,CBX1,4,pp
CHAF1A,CHD4,4,pp
CHAF1A,ARID1A,4,pp
CHAF1A,WDR5,4,pp
CHAF1A,SIN3A,4,pp
