shRNA,count,adjPctg,nbPctg
Suv420h1.4,2746,3.209759860802423,72.87947794165206
Suv420h2.1,3258,3.808229288599525,73.69164017968275
Suv420h2.2,609,0.7118513311102243,66.08480689658491
Suv420h2.3,3013,3.5218523163138022,73.31923423499246
Suv420h2.4,32,0.03740433923731885,54.550514978126984
Suz12.1,3123,3.650429732442086,73.48982997595516
Suz12.2,5648,6.6018658753867765,76.36137760127724
Suz12.3,21929,25.632492347973905,83.27661489903207
Suz12.4,748,0.8743264296723279,66.97462568757125
Taf1.1,0,0.0,26.55335294971427
Taf1.2,202100,236.23177999569182,94.6121081112999
Taf1.3,5028,5.877156802663724,75.79008658350794
Taf1.4,2015,2.355304486349921,71.43038769381785
Taf3.1,43840,51.24394475512682,86.92870424174971
Taf3.2,9,0.010519970410495924,50.22492186343087
Taf3.3,9704,11.342865873716939,79.06831003617985
Taf3.4,8119,9.490182195868492,78.16794415940123
Tbx21,2084,2.43595759283039,71.5866881564034
Tbx21.3,5290,6.1834048301692714,76.0391929444955
Tbx21.4,7591,8.873010598452728,77.83055949801707
Tcea1.1,2303,2.691943539485791,72.05245908415606
Tcea1.2,1339,1.5651378199615604,69.55900133232137
Tcea1.3,20810,24.324509360268912,83.00241915566163
Tcea1.4,19231,22.47883899602746,82.5901410537466
Tdg.1,1377,1.6095554728058765,69.68562025134884
Tdg.2,3263,3.814073716605356,73.69896209630514
Tdg.3,5055,5.9087167138952115,75.81631693734454
Tdg.4,672,0.7854911239836957,66.5094193271657
Tet1.1,3847,4.496702907686425,74.48903321935693
Tet1.2,716,0.8369220904350091,66.78440380171958
Tet1.3,3951,4.618267010207711,74.61776028622354
Tet1.4,2082,2.4336198216280573,71.58222605069085
Tet2.1,0,0.0,26.55335294971427
Tet2.2,26505,30.9813128589105,84.27197664931167
Tet2.3,113448,132.60773368110463,91.86057816935039
Tet2.4,9485,11.086879927061538,78.95261491180297
Tet3.1,2766,3.2331375728257474,72.91378173526222
Tet3.3,631,0.7375668143358809,66.23756771514678
Tet3.4,2894,3.382754929775023,73.12795710499609
Trim24.1,1141,1.33369847093065,68.83925046306314
Trim24.2,26096,30.50323864803352,84.19013525658214
Trim24.3,55094,64.39858331065139,88.13377811409735
Trim24.4,47641,55.6868789251596,87.36775262615595
Trim28.1,2838,3.3172973361097147,73.03537406661688
Trim28.2,42783,50.00843267469413,86.79976276521451
Trim28.3,22034,25.75522533609636,83.30164234914889
Trim28.4,1177,1.3757783525726337,68.97840614566582
Trim33.1,9736,11.380270212954258,79.08500723326965
Trim33.2,7565,8.842619572822407,77.81337674234334
Trim33.3,8576,10.02436291560145,78.443561593043
Trim33.4,20377,23.81838189496394,82.89246159084854
Trim66.1,6836,7.990501969572237,77.30730809528322
Trim66.3,4031,4.711777858301008,74.71462669035459
Trim66.4,2315,2.7059701666997853,72.07676291905824
Ube2a.1,60273,70.45224183909122,88.6058434918464
Ube2a.2,21713,25.380013058122,83.22476169459296
Ube2b.1,55185,64.50495190035751,88.1424611804354
Ube2b.2,408,0.4769053252758152,64.3844786884355
Ube2b.3,23061,26.95567084849406,83.54049623886195
Ube2b.4,82750,96.72528349650419,90.25614375807595
Ube2e1.1,1608,1.879568046675272,70.39136084043027
Ube2e1.3,25935,30.315048066245758,84.15757415409294
Ube2e1.4,26,0.03039102563032156,53.81786433913306
Ube2i.1,541,0.6323671102309217,65.5776434470896
Ube2i.2,1627,1.9017768730974298,70.44509370820776
Ube2i.3,2997,3.503150146695143,73.29393417565439
Ube2i.4,14313,16.73025960949202,81.05706748435153
Uhrf1.1,15636,18.27669525983492,81.51416684100718
Uhrf1.2,5478,6.40315532318852,76.21086562531325
Uhrf1.3,7020,8.205576920186822,77.43969509808062
Uhrf1.4,40,0.04675542404664855,55.3490199194018
Usp22.1,19710,23.038735198986075,82.71857060702587
Usp22.2,31387,36.68781236380396,85.16318059821204
Usp22.3,10708,12.516427017287818,79.56878040369556
Usp22.4,5616,6.564461536149457,76.33337590687623
Usp27x.1,82259,96.1513606663316,90.22544441887712
Usp27x.2,12435,14.535092450501867,80.33328568467198
Usp27x.3,3575,4.178766024169215,74.13621064837265
Usp27x.4,21881,25.576385839117926,83.26513487004141
Usp51.1,23631,27.6219356411588,83.66863314589338
Usp51.2,24265,28.36300911229818,83.80766566363857
Usp51.3,33707,39.39962695850957,85.53973452641168
Usp51.4,4043,4.7258044855150025,74.72900078613947
Wbp7.1,1117,1.305645216502661,68.74417744158083
Wbp7.2,996,1.1642100587615491,68.23361271202789
Wbp7.3,711,0.8310776624291781,66.75396176062239
Wbp7.4,14440,16.878708080840127,81.10266896950455
Wdr5.1,4540,5.3067406292946115,75.29157485171028
Wdr5.2,90,0.10519970410495925,58.35047539806823
Wdr5.3,571,0.667433678265908,65.80834343759811
Wdr5.4,6997,8.17869255136,77.42332779628204
Wdr82.1,0,0.0,26.55335294971427
Wdr82.2,79477,92.89952092388718,90.04770800231037
Wdr82.3,3105,3.6293897916210938,73.46230458086531
Wdr82.4,6163,7.203841959987376,76.79254279397875
Whsc1.1,5586,6.529394968114471,76.30698657816119
Whsc1.2,807,0.9432906801411345,67.3061949553454
Whsc1.3,4992,5.83507692102174,75.75490532221734
