plate_well,shRNA,GeoMean
8_F06,Kat2b.3,3084.274573
19_D07,Dpy30.2,2562.241625
10_E10,Myst1.3,3091.071385
8_G09,Kdm2b.4,3094.585646
6_F03,Hdac6.3,2175.626857
7_G06,Jmjd1c.4,2176.776643
10_G11,Mta2.4,3099.712519
12_G06,Ppargc1a.4,3101.996635
2_C07,Brd3.2,2182.475829
3_E02,Cbx5.2,2184.376859
19_G02,Cbx2.3,2589.509321
11_C09,Pbrm1.1,3117.096375
3_G10,Cbx4.4,2188.461048
12_C10,Phf20.2,3125.764143
5_B07,Fbxo44.1,2193.640422
4_B07,Dot1l.1,2199.697183
6_G04,Fkbp1a.4,2202.556655
7_D10,Hdac7.3,2205.382754
3_D04,Cbx7.3,2209.455428
14_F09,Prmt8.3,3155.819985
12_G05,Prdm1.4,3156.01704
20_C07,Paf1.2,2229.208229
9_G11,L3mbtl3.4,3158.584363
19_B09,Zmynd11.1,2633.130438
19_D04,Arid1b.3,2635.27471
10_B09,Msl3.1,3167.04961
control2_D06,Cxxcl.1,3168.356874
16_D09,Sirt7.2,1915.981958
control1_C07,Brd8.2,2221.317494
19_C03,Whsc1.1,2644.703549
11_F10,Ncoa3.4,3178.869531
1_C02,Atm.2,2227.531364
19_C02,Cecr2.2,2655.457137
14_B09,Prmt7.1,3190.344273
3_D09,Cbx4.2,2233.320751
5_E11,Elp4.3,2235.141006
5_E09,Ezh2.3,2235.30836
13_D02,Prdm11.2,3201.386661
8_D05,Kat5.1,3201.923547
17_C08,Sp100.2,1960.146951
control1_B11,shCd4.1+pMig,2247.628105
19_D02,Wdr5.2,2687.526387
10_F07,Myst2.4,3225.029321
19_G10,Zmynd11.4,2694.068486
control3_E11,shCd4.4+pMig,1992.751118
9_G03,L3mbtl2.4,3235.927105
control2_D02,Ncor1.1,3237.282651
3_C04,Brwd1.2,2260.667186
11_D06,Ncoa3.2,3243.312823
11_D11,Pcgf1.2,3244.739156
8_F04,Kdm3a.4,3247.988426
control1_B10,shCd4.1+Runx3,2266.388958
