Position,Pool,shRNA,GeoMean
13_F04,2,Prdm6.4,6600.33698915725
13_F05,2,Prdm14.3,7642.51085398331
13_F06,2,Prdm13.3,5460.29840019303
13_F07,2,Prdm9.4,7750.5515447734
13_F08,2,Prdm4.3,7156.70474550819
13_F09,2,Prdm2.3,6631.99527909431
13_F10,2,Prdm13.4,6842.6665830024
13_F11,2,Prkaa1.4,7114.08395115307
13_G02,2,Prdm8.4,7209.47261598408
13_G03,2,Prdm2.4,6233.26982864564
13_G04,2,Prdm11.4,6730.09132333473
13_G05,2,Prkcd.4,6216.75557262378
13_G06,2,Prkaa2.4,7787.78385975522
13_G07,2,Prdm14.4,5021.53381738387
13_G08,2,Prdm12.4,7636.95627557476
13_G09,2,Prdm5.4,6410.12906749329
13_G10,2,Prdm15.4,7624.40884976795
13_G11,2,Prdm4.4,4276.15695590445
10_B02,2,Mll1.1,8470.59456970327
10_B03,2,Mta3.1,6742.79004855441
10_B04,2,Mtf2.1,5518.080979843
10_B05,2,Mta2.1,4694.44615082398
10_B06,2,Mll3.1,4948.14611424403
10_B07,2,Nap1l1.1,6093.09162170185
10_B08,2,Myst2.1,3746.15215805323
10_B09,2,Msl3.1,3997.54888147704
10_B10,2,Mll2.1,3210.25547285585
10_B11,2,Myst3.1,6039.99475909473
10_C02,2,Myst2.2,5608.99884851733
10_C03,2,Mll5.1,6833.85309246123
10_C04,2,Mll1.2,7044.61939398734
10_C05,2,Myst3.2,5957.85469284745
10_C06,2,Myst1.1,5948.20594827241
10_C07,2,Mtf2.2,6469.93110418594
10_C08,2,Mll3.2,4528.69186315543
10_C09,2,Myst4.1,4832.95323825069
10_C10,2,Mta3.2,5274.10795532883
10_C11,2,Mta1.1,6100.79206154827
10_D02,2,Mll2.2,2116.86454072732
10_D03,2,Myst4.2,5271.17124753936
10_D04,2,Mta3.3,6140.59883457427
10_D05,2,Morf4l1.1,3643.01790426381
10_D06,2,Mll5.2,6630.92826130584
10_D07,2,Myst4.3,6814.59707261102
10_D08,2,Myst1.2,6272.84860404675
10_D09,2,Msl3.2,5547.58109554191
10_D10,2,Mll1.3,8306.62821258806
10_D11,2,Nap1l1.2,7434.72423516981
10_E02,2,Mta1.2,6277.58004155564
10_E03,2,Mta2.2,5825.4357184934
10_E04,2,Mll1.4,8726.46825359711
10_E05,2,Myst2.3,6548.52361425842
10_E06,2,Mtf2.3,3882.28244381943
10_E07,2,Morf4l1.2,5677.7364623287
10_E08,2,Mll2.3,6028.17904819602
10_E09,2,Myst3.3,7094.48995935133
10_E10,2,Myst1.3,7476.47222026936
10_E11,2,Msl3.3,6879.36794850926
10_F02,2,Mll3.3,5807.8194259279
10_F03,2,Nap1l1.3,6038.59998510603
10_F04,2,Mtf2.4,7298.87702917047
10_F05,2,Morf4l1.3,5793.24338920996
10_F06,2,Mll5.3,5025.4383255139
10_F07,2,Myst2.4,5749.15764698245
10_F08,2,Mta2.3,6798.06354615732
10_F09,2,Mta1.3,5569.87337571779
10_F10,2,Mll5.4,6684.65582955334
10_F11,2,Myst3.4,6352.44379074476
10_G02,2,Myst1.4,7137.86900518597
10_G03,2,Mta1.4,5891.32148441559
10_G04,2,Mll2.4,6267.14931298733
10_G05,2,Nap1l1.4,6067.37919048695
10_G06,2,Myst4.4,6288.43535898397
10_G07,2,Morf4l1.4,6202.52543356527
10_G08,2,Mll3.4,4938.20097208522
10_G09,2,Mta3.4,6711.84926649327
10_G10,2,Msl3.4,6209.25006778398
10_G11,2,Mta2.4,4839.0481623131
8_B02,2,Jmjd5.1,5860.26952645175
8_B03,2,Kdm2b.1,6420.66392135286
8_B04,2,Kdm3a.1,6148.60498966717
8_B05,2,Kdm2a.1,5965.33602804271
8_B06,2,Kat2a.1,6200.28482806707
8_B07,2,Kdm5a.1,6102.42082689434
8_B08,2,Kdm4a.1,6028.67614271148
8_B09,2,Kdm1a.1,5608.90880468862
8_B10,2,Jmjd6.1,5889.58823355495
8_B11,2,Kdm4c.1,5693.31532025056
8_C02,2,Kdm4a.2,4552.36755684945
8_C03,2,Kat2b.1,5316.26794379075
8_C04,2,Jmjd5.2,5674.43644861402
8_C05,2,Kdm4c.2,5049.12475260571
8_C06,2,Kdm3b.1,4316.88499974749
8_C07,2,Kdm3a.2,4761.41774188337
8_C08,2,Kat2a.2,6403.60209020839
8_C09,2,Kdm4d.1,5399.82341278903
8_C10,2,Kdm2b.2,6102.02647627122
8_C11,2,Kdm1b.1,5376.60845253627
8_D02,2,Jmjd6.2,6855.70208832121
8_D03,2,Kdm4d.2,5319.88370327059
8_D04,2,Kdm2b.3,8045.70565484453
8_D05,2,Kat5.1,5216.32866994182
8_D06,2,Kat2b.2,6241.50377183745
8_D07,2,Kdm4d.3,6738.54483854712
8_D08,2,Kdm3b.2,6992.32129054581
8_D09,2,Kdm1a.2,5869.24928963736
8_D10,2,Jmjd5.3,5970.29363266972
8_D11,2,Kdm5a.2,6562.86438347619
8_E02,2,Kdm1b.2,5271.3877058587
8_E03,2,Kdm2a.2,6176.2131904876
8_E04,2,Jmjd5.4,6233.53233829096
8_E05,2,Kdm4a.3,6648.09735935129
8_E06,2,Kdm3a.3,5193.14699324183
8_E07,2,Kat5.2,7101.76184952177
8_E08,2,Jmjd6.3,5802.32282017825
8_E09,2,Kdm4c.3,6771.68648356756
8_E10,2,Kdm3b.3,6120.93734446495
8_E11,2,Kdm1a.3,4748.1451440327
8_F02,2,Kat2a.3,6545.31549907789
8_F03,2,Kdm5a.3,5174.62694295188
8_F04,2,Kdm3a.4,5298.66443301975
8_F05,2,Kat5.3,7113.01257091905
8_F06,2,Kat2b.3,5335.98755464412
8_F07,2,Kdm4a.4,4141.31661032951
8_F08,2,Kdm2a.3,5104.7688522754
8_F09,2,Kdm1b.3,5368.19864727783
