Position,Pool,shRNA,GeoMean
6_G09,1,Hcfc1.4,51.9404875
6_G10,1,Gtf2f1.4,69.48250697
6_G11,1,Hat1.4,65.23397131
2_B02,1,Baz1a.1,55.16003745
2_B03,1,Brd2.1,33.78766804
2_B04,1,Brd3.1,35.13118534
2_B05,1,Brd1.1,42.5667676
2_B06,1,Baz2a.1,35.17061202
2_B07,1,Brpf3.1,36.62979698
2_B08,1,Brd8.1,47.49913132
2_B09,1,Bop1.1,35.91727985
2_B10,1,Baz1b.1,32.20533198
2_B11,1,Brd9.1,87.16918531
2_C02,1,Brd8.2,46.00633095
2_C03,1,Baz2b.1,43.60926241
2_C04,1,Baz1a.2,31.1076724
2_C05,1,Brd9.2,29.94718542
2_C06,1,Brd4.1,34.08971348
2_C07,1,Brd3.2,34.36440429
2_C08,1,Baz2a.2,9.422952524
2_C09,1,Brpf1.1,35.24012166
2_C10,1,Brd2.2,29.57991113
2_C11,1,Bptf.1,38.38733179
2_D02,1,Baz1b.2,36.65876429
2_D03,1,Brpf1.2,37.07633624
2_D04,1,Brd2.3,44.34119273
2_D05,1,Bmi1.1,40.61501256
2_D06,1,Baz2b.2,37.83382592
2_D07,1,Brpf1.3,43.36947751
2_D08,1,Brd4.2,47.32757191
2_D09,1,Bop1.2,42.76864429
2_D10,1,Baz1a.3,35.24994418
2_D11,1,Brpf3.2,39.86924153
2_E02,1,Bptf.2,55.24445171
2_E03,1,Brd1.2,41.48005113
2_E04,1,Baz1a.4,46.63918133
2_E05,1,Brd8.3,30.58126825
2_E06,1,Brd3.3,41.27250564
2_E07,1,Bmi1.2,49.61901804
2_E08,1,Baz1b.3,39.82127812
2_E09,1,Brd9.3,25.74106212
2_E10,1,Brd4.3,49.09942616
