shRNA,count,pctg,nbPctg
Mtf2.4,15419,0.10014417279640278,83.02865171918596
Myst1.1,7220,0.04689285476295662,79.46163620768118
Myst1.2,113302,0.7358800873064419,92.5713532713111
Myst1.3,28345,0.18409667150360184,85.95728566508033
Myst1.4,4235,0.02750571190043231,77.02636740419854
Myst2.1,14901,0.0967798377870937,82.86569632753664
Myst2.2,7450,0.048386671465931695,79.60678329451252
Myst2.3,556,0.003611139508061479,68.37338292672165
Myst2.4,373,0.0024225810009117477,66.78617955583248
Myst3.1,1852,0.012028471886564494,73.38230275256204
Myst3.2,48036,0.311986865843959,88.51175353896316
Myst3.3,9972,0.06476669635681487,80.96607097480262
Myst3.4,87,0.0005650524050383969,61.30682997447621
Myst4.1,52766,0.3427075310834029,88.96504153818347
Myst4.3,11549,0.07500908305503962,81.65705786168583
Myst4.4,4912,0.03190272889136329,77.69683762762443
Nap1l1.1,9282,0.06028524624788966,80.63019528633568
Nap1l1.2,4778,0.031032418290499547,77.57144634454836
Nap1l1.3,10313,0.06698144199035617,81.12395977356299
Nap1l1.4,110435,0.7172593373610961,92.45427611597378
Nap1l2.1,75830,0.49250487211565097,90.7003976068951
Nap1l2.2,146,0.0009482488636276547,63.20135910997995
Nap1l2.3,5654,0.03672191147226547,78.33753334890989
Nap1l2.4,55373,0.35963961866886385,89.19734352095068
Nap1l3.1,124887,0.8111229851497733,93.01241205345478
Nap1l3.2,32716,0.21248568371535856,86.65182309266936
Nap1l3.3,145040,0.9420138026065413,93.67757788653643
Nap1l3.4,24540,0.1593837473522099,85.26037719203478
Ncoa1.1,95891,0.622798162891229,91.80284879895605
Ncoa1.2,63430,0.4119686672596036,89.84956411826475
Ncoa1.3,21142,0.13731422927956077,84.5417282235762
Ncoa1.4,2646,0.01718538693944366,74.93420773126925
Ncoa3.1,6200,0.040268102428023686,78.75990888633957
Ncoa3.2,28401,0.18446038339650012,85.96684528334663
Ncoa3.3,4627,0.03005169515072026,77.42599078184273
Ncoa3.4,18043,0.11718667292077926,83.78022097530196
Ncor1.1,71923,0.46712947273076577,90.44925286853064
Ncor1.3,9690,0.06293514718186283,80.83159988930402
Ncor1.4,79319,0.5151654220142599,90.913280166046
Ncor2.1,27501,0.17861501368920638,85.8110378448534
Ncor2.2,10060,0.0653382436170836,81.00733376402324
Ncor2.3,6137,0.03985892654851313,78.71293640633526
Ncor2.4,11332,0.07359969947005877,81.56751874486025
Nfatc3.2,39160,0.25433853081958185,87.52307287581901
Nfatc3.3,2521,0.016373530035652856,74.72188577196309
Nfatc3.7,1048,0.006806608281382068,70.96888094962243
Nfatc3.8,13379,0.08689466812653693,82.35328479956395
Nsd1.1,2713,0.017620542239875525,75.04408036045724
Nsd1.2,1137,0.007384650396881118,71.30958420176613
Nsd1.3,231,0.0015003115582053986,64.93035144819476
Nsd1.4,6827,0.04434037665743834,79.20318972716564
Orc1.1,9974,0.06477968606727552,80.96701264653248
Orc1.2,17596,0.11428347263282336,83.66001337602238
Orc1.3,11660,0.07573001198560583,81.70222082043163
Orc1.4,1500,0.009742282845489602,72.47984114487238
Padi1.1,48678,0.3161565629018286,88.57589782753158
Padi1.2,2746,0.0178348724624763,75.09719460641749
Padi1.3,1078,0.00700145393829186,71.08677545488274
Padi1.4,24632,0.15998127403339993,85.27846246357042
Padi4.1,3350,0.021757765021593444,75.97699288460852
Padi4.2,6408,0.04161903231593158,78.91153168850465
Padi4.3,14093,0.09153199476098997,82.60029650917535
Padi4.4,9760,0.06338978704798569,80.86528812140162
Padi6.1,37400,0.24290758561420742,87.3002555478399
Padi6.2,0,0.0,40.92117649556751
Padi6.3,1888,0.012262286674856246,73.4653269681498
Padi6.4,78455,0.5095538670952579,90.86150721054321
Parp1.1,21992,0.1428348562253382,84.73154752944914
Parp1.2,5529,0.035910054568474674,78.23552171027572
Parp1.3,117618,0.7639118824805307,92.74142583788118
Parp1.4,2074,0.013470329747696956,73.8714760125883
Paxip1.1,13795,0.08959652790235272,82.4987202516939
Paxip1.2,6188,0.04019016416525977,78.75100780954752
Paxip1.3,1302,0.008456301509884976,71.8797250254272
Paxip1.4,69343,0.4503727462365236,90.27533367039469
Pbrm1.1,14623,0.09497426803306297,82.77601662663227
Pbrm1.2,152229,0.9887053168573579,93.888997642185
Pbrm1.3,0,0.0,40.92117649556751
Pbrm1.4,10669,0.06929361045235237,81.28351329980323
Pcgf1.1,17701,0.11496543243200764,83.68851782273576
Pcgf1.2,8334,0.05412812348954023,80.12748454732855
Pcgf1.3,12062,0.07834094378819706,81.86232578815151
Pcgf1.4,5969,0.03876779086981829,78.58566842431588
Pcgf2.2,3221,0.02091992869688134,75.8024468051619
Pcgf2.3,1017,0.00660526776924195,70.84397772568423
Pcgf2.4,3594,0.023342509697793085,76.29039580905645
Pcgf5.1,13146,0.08538136685787087,82.26993279027361
Pcgf5.2,1520,0.00987217995009613,72.536279762567
Pcgf5.3,2376,0.01543177602725553,74.46272626460467
Pcgf5.4,2970,0.019289720034069414,75.44310667837082
Pcgf6.1,1580,0.010261871263915714,72.70106692147358
Pcgf6.2,27374,0.1777901670749549,85.78864179154304
Pcgf6.3,376709,2.4466704189610287,97.35824122658823
Pcgf6.4,23348,0.15164187991766082,85.02002933222398
Pcmt1.1,16282,0.10574923286017447,83.28867746376997
Pcmt1.3,30951,0.20102226423383243,86.38315609516461
Pcmt1.4,153553,0.99730450518231,93.92663724050246
Phc1.1,80621,0.5236217235241448,90.99015830839622
Phc1.2,59038,0.3834432630880101,89.50548913493405
Phc1.3,2566,0.016665798521017548,74.79936157138218
Phc1.4,7,4.546398661228481e-05,52.85779592355715
Phf1.1,7825,0.050822242177304085,79.83452586220986
Phf1.2,1719,0.011164656140931085,73.06194042606673
Phf1.3,12046,0.07823702610451183,81.856105274759
Phf1.4,2081,0.013515793734309242,73.8859316261103
Phf19.1,57694,0.3747141776584514,89.39485355471092
Phf19.2,4990,0.03240932759932874,77.7684216358251
Phf19.3,237935,1.5453533792277123,95.73318706479095
Phf19.4,3429,0.022270858584789232,76.08073064922986
Phf2.1,96,0.0006235061021113346,61.66011228452019
Phf2.2,32415,0.21053073229103028,86.60703737649766
Phf2.3,42181,0.27395948847039797,87.88300891704374
Phf2.4,36,0.00023381478829175047,58.19713625626185
Phf20.1,0,0.0,40.92117649556751
Phf20.2,27877,0.1810570792558091,85.87673665882612
Phf20.3,54745,0.35556084958421885,89.14242818443682
Phf20.4,24583,0.15966302612711392,85.26885351212444
Phf20l1.1,11859,0.07702248817644079,81.78212739285973
Phf20l1.2,71,0.0004611347213531745,60.577964768637706
Phf20l1.3,6705,0.04354800431933852,79.12009574198619
Phf20l1.4,73134,0.47499474241469103,90.52861633000397
Phf8.1,20524,0.13330040874721905,84.39895836576402
Phf8.2,277237,1.8006141794900006,96.30958518525652
Phf8.3,53,0.0003442273272072993,59.54449850567892
