gene_name,t1,t2
Suv39h2.3,-35.317745,-11.090156
Sp140.1,-19.208364,-22.35906
Sp110.2,-20.020681,-50.434284
Taf3.3,-3.133684,-76.19999
Suv420h2.2,-16.028757,-68.79872
Ssrp1.2,40.607224,52.652145
Smyd4.3,27.468788,29.220505
Tcea1.2,2.6959379,-78.046906
Supt16h.2,42.534058,56.71134
Suv39h1.2,10.426747,-29.483606
Smyd4.4,-19.206793,-40.388306
Suz12.3,-21.05404,-24.10239
Suv420h1.3,-18.926474,-23.67869
Sp140.2,-2.9742215,-46.982967
Smyd5.3,4.9420233,-47.852974
Taf1.3,0.09247339,-75.75746
Suv420h2.3,11.128559,12.249536
Ssrp1.3,38.838245,67.04887
Sp100.3,1.7634283,-15.305004
Tcea1.3,-34.613724,-40.489605
Suv420h1.4,5.236184,-61.65931
Sp140.3,-21.749609,-46.285587
Sp110.3,7.8921714,-62.36928
Suz12.4,-6.9072504,21.421663
Suv39h1.3,-2.421996,-48.967743
Supt16h.3,0.7462201,-24.038267
Sp110.4,-0.6012527,-26.995638
Taf1.4,-26.844694,82.037544
Suv420h2.4,-11.666825,21.057276
Supt16h.4,-3.6016283,-1.4432644
Smyd5.4,-32.85254,-30.3231
Tcea1.4,-3.0613139,-72.43622
Taf3.4,-2.9310315,-73.24674
Sp140.4,-42.968475,-33.362522
Sp100.4,13.993704,6.2665887
Suv39h2.4,-1.517904,-49.29529
Ssrp1.4,27.757305,29.50178
Suv39h1.4,23.325651,35.468937
Tdg.1,-11.674988,-49.919643
Ube2b.1,-29.611496,-56.097523
Ube2e1.1,39.355103,23.507584
Trim66.1,-15.378738,-47.489624
Tet2.1,11.849866,-1.5200508
Usp51.1,13.345728,-3.2439282
Uhrf1.1,33.95982,50.312
Trim28.1,24.018559,-2.1971486
Tet1.1,41.373493,51.1916
Usp22.1,-7.677017,-2.28126
Uhrf1.2,33.06358,50.107166
Tet3.1,-36.404198,-36.308144
Tdg.2,-58.97529,-33.56949
Usp22.2,-19.201414,-23.445335
Ube2i.1,26.746952,69.70363
Ube2e1.2,-17.258001,-57.913292
Tet2.2,-19.346003,3.5369084
Usp27x.1,-62.440414,-38.77671
Ube2b.2,-28.467232,4.8006587
Trim33.1,-10.189601,1.4262024
Tet1.2,-18.931921,-11.402805
Usp27x.2,-20.114769,-11.045435
Ube2b.3,-36.713226,-37.00245
Trim24.1,-29.277876,66.49158
Tet3.2,-24.614143,-14.712461
Usp27x.3,-18.920925,-10.916716
Ube2i.2,37.022526,61.791935
Trim28.2,-31.69322,-27.919529
Tdg.3,-18.26385,-10.032695
Usp51.2,-16.710682,-7.4138885
Trim33.2,-1.642726,-18.285597
Trim66.2,-27.755651,66.468704
Tdg.4,23.53988,-0.52310354
Uhrf1.3,31.69953,34.652412
Ube2e1.3,42.365498,42.874092
Trim24.2,-9.66718,20.838041
Tet1.3,-13.478899,0.37163907
Usp22.3,42.873222,43.305466
Ube2i.3,41.864113,58.72083
Trim28.3,-2.3886578,-34.38405
Tet2.3,24.89058,13.587788
Usp51.3,-33.963436,-41.445824
Ube2e1.4,40.16684,22.543674
Trim24.3,-12.915757,12.588867
Tet3.3,-2.2083533,-18.078135
Uhrf1.4,39.637993,22.648281
Trim66.3,23.460314,12.856032
Trim33.3,27.333206,-13.874486
Tet3.4,23.190828,12.146967
Usp22.4,23.984865,35.482616
Ube2i.4,-38.217075,17.541422
Trim33.4,-35.506935,-35.50077
Tet1.4,-6.0122175,-36.966618
Usp51.4,10.098264,-63.48958
Usp27x.4,3.2620666,-62.786404
Trim24.4,3.3944361,18.78455
Tet2.4,-23.31325,-45.65825
Ube2b.4,-22.420237,-44.52153
Trim28.4,-6.122779,-54.21845
Trim66.4,-7.359256,-26.840519
Wbp7.1,-13.179819,-68.92667
Arid1b.1,-6.8562555,-37.03602
Brd7.2,-14.268252,-70.45373
Actb,-48.924713,-26.761477
Wdr82.1,-49.13372,60.616764
Eaf1.1,-15.180017,-69.54367
Cecr2.1,-38.13275,-32.587128
Zmynd11.1,-34.062813,-30.846952
Wdr5.1,-37.380985,-32.25843
Chd7.2,24.161655,-45.481823
Cecr2.2,8.648815,-29.65766
Whsc1.1,32.007076,37.596058
Wbp7.2,4.620897,-59.952343
Chd7.3,-36.969566,2.5662158
Brdt.3,2.3956118,-24.267876
Brd7.3,4.3919063,-61.077343
Wdr82.2,-49.093826,60.56397
Clock.3,-13.884845,-66.40034
Arid1b.2,-41.567352,-35.183807
Zmynd8.1,-54.4826,-16.639582
Wdr5.2,-2.6193452,21.340748
Dpy30.1,-10.39977,-34.290188
