shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,nbPctg_input,inputMinusAvg_nbPctg
Smyd5.3,32.47960172773851,57.04250544595815,39.756259511519595,47.61709819033103,59.03875864206937,14.814892423182542
Smyd5.4,67.72918656888575,63.55704512153339,41.18798377948383,53.41286249133521,50.06875776724867,-6.403011723060878
Sp100.1,99.99269485239357,99.98896299383068,99.98577391202997,99.95851728107294,99.7112143327124,-0.2702729271193931
Sp100.2,57.557663413958494,63.15806582597347,58.76667080296163,82.17402769942302,83.36763752976874,17.953530594189587
Sp100.3,72.96806469384624,68.60587108817953,61.68175999474915,65.50360525642172,42.35507450477307,-24.834750753526095
Sp100.4,53.5176315016327,56.188903800547195,64.79596758549435,72.49699557271727,77.09040029456678,15.340525679468897
Sp110.1,71.44383654377891,61.13997846327758,74.40732170966142,76.78222476058102,60.37498535808085,-10.56835501124388
Sp110.2,59.25804858674574,55.15431095496631,64.53023721474041,68.50899179183986,89.21814492490327,27.355247787830187
Sp110.3,60.23978757278128,63.99522095891228,69.45566147021474,71.62344131673848,76.87673685900478,10.548209029343084
Sp110.4,76.84200698141807,67.95919799459416,52.5258021257332,76.36892661309184,84.44606518066406,16.022081751954744
Sp140.1,99.71374465232287,99.07182029065031,99.77597759062881,99.4736637669434,96.7397801073713,-2.769021467765043
Sp140.2,54.788348825098375,65.2878059450119,57.341790460235586,41.6303108543496,71.21539459442964,16.453330573255776
Sp140.3,77.77051424388841,63.727126691123935,72.66333357184057,71.80834679362272,59.22575474203673,-12.266575583082172
Sp140.4,63.58534002029563,70.18397835695987,69.15686368074861,72.95429540889158,79.62050476791426,10.650385401190334
Ssrp1.1,46.23206123962254,33.22490180500729,57.29483342744497,45.40200383354772,41.476015175202626,-4.062434901203005
Ssrp1.2,67.89637491098009,62.090170427158185,68.35172118501748,68.5636880339558,76.16953526078831,9.44404662151041
Ssrp1.4,75.96610544210147,70.17860172621798,72.86566773279051,75.12274170831847,77.34432775611751,3.8110486037603977
Supt16h.1,73.20743878697841,64.78615373518929,72.23738376589075,76.22588236243863,86.98563319053625,15.37141852791197
Supt16h.2,25.281729899854106,19.49476589132354,34.88422970458716,33.79695009448847,43.55543362908143,15.19101473151811
Supt16h.3,53.98904610485484,32.040700046164424,36.38276450027739,30.232349878017022,64.49318732445617,26.33197219212775
Supt16h.4,99.11384092174438,98.69974966733123,99.35410240144351,98.71174705940201,88.06218176671948,-10.907678245760806
Suv39h1.1,69.71825150274103,46.16937669622176,52.20360632126268,33.1478910645268,76.30626966577174,25.996488269583672
Suv39h1.2,81.15772333746852,78.01912865736091,80.84222795692622,88.09071894644778,71.8588725940534,-10.168577130497454
Suv39h1.3,75.95173525369759,68.44235962654656,57.16481627896314,47.100466192500356,72.41537537432647,10.250531036399558
Suv39h1.4,77.66988946852189,79.89038466190878,85.60476065247609,72.46469915160993,81.77038363043053,2.862950146801353
