,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:33:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
F04,Hdac1.4,F04,Sample,8712,434,550,2299,1685.2086,970.4349117,972.5962423,75.54040024,233.5350543,266.7250072,58.00617717,29.49308756,28,33.44932579,28.48562849,3765.208471,276.1195962,420.5929592,3541.920499,86.86635945,39.81818182,41.97477164,86.57228657,64.51612903,40.36363636,33.36233145,46.91119691,695.6076659,126.103638,118.7472826,580.8824449
F05,Gtf2b.3,F05,Sample,11616,1778,2571,1696,1601.169073,1004.34167,890.2700384,73.33221598,257.6642176,245.2960816,51.54088143,35.82677165,38.62310385,32.60613208,27.69118363,4477.679722,371.7295916,333.5225866,3665.384211,93.75703037,43.873979,39.38679245,88.45591817,50.16872891,31.93309996,28.30188679,45.76229907,642.5989662,130.4217059,105.6554949,601.2773285
F06,Gadd45b.3,F06,Sample,12548,1017,1462,2671,1366.124271,870.4281505,942.7244612,110.2442001,300.6248996,285.355286,100.5468468,26.64700098,33.78932969,30.66267316,26.36865897,4026.853971,482.4917251,407.1240347,3858.179795,93.51032448,48.56361149,43.54174466,89.60321447,61.35693215,36.18331053,34.44402845,50.84547129,1031.701804,157.2855726,136.9923095,717.5246548
F07,Hdac2.4,F07,Sample,13440,2286,2684,1836,1997.56533,1416.066032,941.2408266,90.91821599,498.1642927,301.1567099,58.3152219,24.89063867,28.35320417,31.31808279,27.32041969,5220.360548,372.7404899,350.2811525,3872.71374,93.7007874,42.25037258,41.61220044,89.16464891,50.65616798,34.27719821,26.68845316,49.17271994,746.4699544,151.5589473,117.7168759,691.5868641
F08,Hat1.3,F08,Sample,11823,3399,2836,791,1448.186154,1039.628816,983.0782722,72.72001134,306.7055316,343.3962255,86.6491835,34.68667255,40.51480959,27.93931732,19.65888689,4872.879991,436.6577999,342.2364198,3052.927043,93.7040306,45.27503526,39.4437421,83.54278875,52.45660488,30.7122708,24.52591656,41.35248354,889.9883255,184.9092799,107.4053253,537.5904432
F09,Gtf3c4.3,F09,Sample,10347,1846,1777,1320,1439.669961,1024.014171,993.8454281,93.02311479,322.9801727,239.3658462,70.84122002,32.55687974,39.50478334,30.45454545,27.85542169,5594.503903,658.911872,473.8682719,3985.061864,95.28710726,53.12324142,46.59090909,89.18072289,55.85048754,36.63477772,30.3030303,48.09638554,879.6698754,151.0769856,128.7684413,709.1348649
F10,Gadd45b.4,F10,Sample,12319,2264,2206,1342,1288.862997,994.1447147,839.2551646,177.5574088,629.5797655,433.1350076,131.9510104,25.61837456,30.37171351,32.93591654,23.91614085,4759.120364,441.1596599,334.8400354,3577.693775,94.9204947,45.64823209,38.97168405,87.11581518,39.4434629,25.52130553,24.0685544,45.06411561,944.0481351,179.934627,121.4204318,694.2698665
F11,Hdac3.4,F11,Sample,9771,651,579,1854,1093.409191,1039.095996,966.588022,1021.221638,3527.995356,452.1480619,83.55477158,25.19201229,35.75129534,30.9600863,24.62545204,3484.272386,376.9558928,399.7859299,4317.732799,83.41013825,40.06908463,43.25782093,90.21870157,30.10752688,24.17962003,26.4832794,45.89288789,381.9717397,140.7824237,142.7697004,784.251399
G02,Hdac10.4,G02,Sample,7180,302,380,1741,1495.54578,1068.938377,908.5537264,204.0705446,632.7381611,193.4749333,52.09562723,33.44370861,35.78947368,37.90924756,28.9557349,3107.912114,329.553886,495.8891222,3406.106575,88.41059603,39.73684211,44.51464675,86.25580827,34.76821192,29.21052632,33.25674899,36.80606505,373.5791268,107.9634546,117.5818136,486.2863278
G03,Gtf3c4.4,G03,Sample,7884,1223,1569,1104,1680.287324,1232.912455,1012.053183,65.86270146,250.3258814,269.8193816,67.30988055,35.73180703,42.19247929,34.42028986,26.31248035,5581.960108,843.728769,462.090942,3092.734065,95.33932952,54.68451243,41.30434783,84.97327884,54.04742437,39.38814532,30.52536232,35.55485696,613.8191347,167.6610785,100.9600997,393.1169905
G04,Fkbp1a.4,G04,Sample,8269,96,116,2502,1567.88548,1017.907846,1008.147096,50.84466837,481.0021345,310.1218825,61.28993252,38.54166667,44.82758621,34.77218225,28.78948484,4792.689601,681.0872194,387.6514694,3760.926144,94.79166667,57.75862069,42.12629896,88.10684757,45.83333333,32.75862069,30.33573141,42.3998304,753.562462,183.972018,107.341977,564.5861641
